# Logfile created on 2020-11-10 11:49:37 +0100 by logger.rb/56815
I, [2020-11-10T11:49:41.530506 #20436]  INFO -- : lab.rism: Source #240257 moved 787 to 599 with content '(OCoLC)891758899'
I, [2020-11-10T11:49:41.581499 #20436]  INFO -- : lab.rism: Source #240281 moved 787 to 599 with content 'Art 519. Mitten wir im Leben sind mit dem Tod umfangen.; (OCoLC)946157738'
I, [2020-11-10T11:49:41.654297 #20436]  INFO -- : lab.rism: Source #240283 moved 787 to 599 with content 'Art. 146a. Nun danket alle Gott.; (OCoLC)946157738'
I, [2020-11-10T11:49:41.722099 #20436]  INFO -- : lab.rism: Source #240284 moved 787 to 599 with content 'Art 146a. Nun danket alle Gott; (OCoLC)12912960'
I, [2020-11-10T11:49:41.790808 #20436]  INFO -- : lab.rism: Source #240285 moved 787 to 599 with content '(OCoLC)946157738'
I, [2020-11-10T11:49:41.848484 #20436]  INFO -- : lab.rism: Source #240286 moved 787 to 599 with content 'Art 146a. Nun danket alle Gott.; (OCoLC)946157738'
I, [2020-11-10T11:49:41.969683 #20436]  INFO -- : lab.rism: Source #240288 moved 787 to 599 with content 'Art 32a. Du Geist des Herrn, der du vo Gott ausgehst; (OCoLC)946157738'
I, [2020-11-10T11:49:42.067997 #20436]  INFO -- : lab.rism: Source #240289 moved 787 to 599 with content 'Art 14a. Nun sich der Tag geendat hat; (OCoLC)946157738'
I, [2020-11-10T11:49:42.133158 #20436]  INFO -- : lab.rism: Source #240290 moved 787 to 599 with content 'Art 14A. Nun sich der Tag geendet hat..; (OCoLC)946157738'
I, [2020-11-10T11:49:42.205642 #20436]  INFO -- : lab.rism: Source #240292 moved 787 to 599 with content 'Art 99a. Wenn endlich, eh es Zion meynt; (OCoLC)946157738'
I, [2020-11-10T11:49:42.256645 #20436]  INFO -- : lab.rism: Source #240293 moved 787 to 599 with content 'Art 22d. Christe, der du bist Tag und Licht; (OCoLC)946157738'
I, [2020-11-10T11:49:42.313563 #20436]  INFO -- : lab.rism: Source #240294 moved 787 to 599 with content 'Art 90a. Mir nach, spricht Christus unser Held; (OCoLC)946157738'
I, [2020-11-10T11:49:42.380817 #20436]  INFO -- : lab.rism: Source #240297 moved 787 to 599 with content 'Art 69. O wie sehr lieblich sind all' deine Wohnung'n; (OCoLC)946157738'
I, [2020-11-10T11:49:42.458493 #20436]  INFO -- : lab.rism: Source #240300 moved 787 to 599 with content 'Art 151A. O Haupt voll Blut und Wunden..; (OCoLC)946157738'
I, [2020-11-10T11:49:42.525183 #20436]  INFO -- : lab.rism: Source #240301 moved 787 to 599 with content 'Art 151A. O Haupt voll Blut und Wunden; (OCoLC)946157738'
I, [2020-11-10T11:49:42.575755 #20436]  INFO -- : lab.rism: Source #240302 moved 787 to 599 with content 'Art 151a. O Haupt voll Blut und Wunden; (OCoLC)946157738'
I, [2020-11-10T11:49:42.648642 #20436]  INFO -- : lab.rism: Source #240303 moved 787 to 599 with content 'Art 151a. O Haupt voll Blut und Wunden; (OCoLC)946157738'
I, [2020-11-10T11:49:42.715192 #20436]  INFO -- : lab.rism: Source #240311 moved 787 to 599 with content 'Art 167f. Voriges, auf eine andre Weise; (OCoLC)946157738'
I, [2020-11-10T11:49:42.799866 #20436]  INFO -- : lab.rism: Source #240314 moved 787 to 599 with content 'Art. 95a O wie selig sind di Seelen.; (OCoLC)946157738'
I, [2020-11-10T11:49:42.864970 #20436]  INFO -- : lab.rism: Source #240339 moved 787 to 599 with content 'Art 249. Die Gottes: Seraphim erheben ihre Stimm'; (OCoLC)946157738'
I, [2020-11-10T11:49:42.943526 #20436]  INFO -- : lab.rism: Source #240340 moved 787 to 599 with content 'Art 51a. Da Jesus an dem Kreutze stund; (OCoLC)946157738'
