# Logfile created on 2017-02-13 12:35:04 +0100 by logger.rb/44203
I, [2017-02-13T12:35:07.470232 #12085]  INFO -- : lab.rism: Size of collection --> 3907
I, [2017-02-13T12:40:45.851127 #12606]  INFO -- : lab.rism: Source #190024970 add tag 500$a with content 'Commment on scoring: no indication'
I, [2017-02-13T12:40:45.858416 #12606]  INFO -- : lab.rism: Source #190024981 add tag 500$a with content 'Commment on scoring: no indication'
I, [2017-02-13T12:40:45.862418 #12606]  INFO -- : lab.rism: Source #190025010 add tag 500$a with content 'Commment on scoring: no indication'
I, [2017-02-13T12:40:45.866461 #12606]  INFO -- : lab.rism: Source #190025011 add tag 500$a with content 'Commment on scoring: no indication'
I, [2017-02-13T12:40:45.876554 #12606]  INFO -- : lab.rism: Source #190025157 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.879992 #12606]  INFO -- : lab.rism: Source #190025158 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.883408 #12606]  INFO -- : lab.rism: Source #190025159 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.893483 #12606]  INFO -- : lab.rism: Source #190025179 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.897365 #12606]  INFO -- : lab.rism: Source #190025260 add tag 500$a with content 'Commment on scoring: no indication'
I, [2017-02-13T12:40:45.901490 #12606]  INFO -- : lab.rism: Source #190025264 add tag 500$a with content 'Commment on scoring: no indication'
I, [2017-02-13T12:40:45.906127 #12606]  INFO -- : lab.rism: Source #190025286 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.911835 #12606]  INFO -- : lab.rism: Source #190025288 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.916588 #12606]  INFO -- : lab.rism: Source #190025297 add tag 500$a with content 'Commment on scoring: bc: vlne'
I, [2017-02-13T12:40:45.922061 #12606]  INFO -- : lab.rism: Source #190025301 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.925731 #12606]  INFO -- : lab.rism: Source #190025303 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.929292 #12606]  INFO -- : lab.rism: Source #190025424 add tag 500$a with content 'Commment on scoring: no indication'
I, [2017-02-13T12:40:45.936369 #12606]  INFO -- : lab.rism: Source #190025450 add tag 500$a with content 'Commment on scoring: vl (org); bc: org'
I, [2017-02-13T12:40:45.941713 #12606]  INFO -- : lab.rism: Source #190025457 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.947617 #12606]  INFO -- : lab.rism: Source #190025606 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.954633 #12606]  INFO -- : lab.rism: Source #190025607 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.970444 #12606]  INFO -- : lab.rism: Source #190025633 add tag 500$a with content 'Commment on scoring: bc: vla da gamba, org'
I, [2017-02-13T12:40:45.977237 #12606]  INFO -- : lab.rism: Source #190025637 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.981742 #12606]  INFO -- : lab.rism: Source #190025638 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.988451 #12606]  INFO -- : lab.rism: Source #190025641 add tag 500$a with content 'Commment on scoring: bc: cemb'
