# Logfile created on 2018-01-29 09:45:31 +0100 by logger.rb/54362
I, [2018-01-29T09:45:31.956347 #29979]  INFO -- : lab.rism: Size of collection --> 2346
I, [2018-01-29T09:45:42.066506 #29979]  INFO -- : lab.rism: 290002770: =240  10$a4$kSinfonie$morch$03936797 --> 4. Sinfonie
I, [2018-01-29T09:45:42.166497 #29979]  INFO -- : lab.rism: 290002771: =240  10$a5$kSinfonie$morch$03927893 --> 5. Sinfonie
I, [2018-01-29T09:45:42.341643 #29979]  INFO -- : lab.rism: 290002931: =240  10$aLieder$kExcepts$mV$rA|b$03904487 --> Lieder. Excepts
I, [2018-01-29T09:45:42.699993 #29979]  INFO -- : lab.rism: 290003248: =240  10$aZum 2$kSonntag nach Trinitatis$mCoro$04244542 --> Zum 2. Sonntag nach Trinitatis
I, [2018-01-29T09:45:42.853574 #29979]  INFO -- : lab.rism: 290003250: =240  10$aZum 1$kSonntag nach Trinitatis$mCoro$04244536 --> Zum 1. Sonntag nach Trinitatis
I, [2018-01-29T09:45:42.945171 #29979]  INFO -- : lab.rism: 290003251: =240  10$aZum 3$kSonntag nach Trinitatis$mCoro S$04006468 --> Zum 3. Sonntag nach Trinitatis
I, [2018-01-29T09:45:43.091780 #29979]  INFO -- : lab.rism: 290003252: =240  10$aZum 4$kSonntag nach Trinitatis$mCoro S$04244531 --> Zum 4. Sonntag nach Trinitatis
I, [2018-01-29T09:45:43.191546 #29979]  INFO -- : lab.rism: 290003253: =240  10$aZum 5$kSonntag nach Trinitatis$mCoro S$04244529 --> Zum 5. Sonntag nach Trinitatis
I, [2018-01-29T09:45:43.433432 #29979]  INFO -- : lab.rism: 290003255: =240  10$aZum 15$kSonntag nach Trinitatis$mCoro$04244507 --> Zum 15. Sonntag nach Trinitatis
I, [2018-01-29T09:45:43.750009 #29979]  INFO -- : lab.rism: 290003256: =240  10$aZu Antiphone Nr$k627$mCoro$04244527 --> Zu Antiphone Nr. 627
I, [2018-01-29T09:45:43.836937 #29979]  INFO -- : lab.rism: 290003257: =240  10$aZum 17$kSonntag nach Trinitatis$mCoro$04120427 --> Zum 17. Sonntag nach Trinitatis
I, [2018-01-29T09:45:43.987114 #29979]  INFO -- : lab.rism: 290003259: =240  10$aZum 15$kSonntag nach Trinitatis$mCoro$04244507 --> Zum 15. Sonntag nach Trinitatis
I, [2018-01-29T09:45:44.103660 #29979]  INFO -- : lab.rism: 290003260: =240  10$aZum 16$kSonntag nach Trinitatis$mCoro$04244517 --> Zum 16. Sonntag nach Trinitatis
I, [2018-01-29T09:45:44.377732 #29979]  INFO -- : lab.rism: 290003261: =240  10$aZum 14$kSonntag nach Trinitatis$mCoro$04244520 --> Zum 14. Sonntag nach Trinitatis
I, [2018-01-29T09:45:44.558461 #29979]  INFO -- : lab.rism: 290003262: =240  10$aZum 17$kSonntag nach Trinitatis$mCoro$04120427 --> Zum 17. Sonntag nach Trinitatis
I, [2018-01-29T09:45:44.659317 #29979]  INFO -- : lab.rism: 290003263: =240  10$aZum 16$kSonntag nach Trinitatis$mCoro$04244517 --> Zum 16. Sonntag nach Trinitatis
I, [2018-01-29T09:45:44.820372 #29979]  INFO -- : lab.rism: 290003264: =240  10$aZum 19$kSonntag nach Trinitatis$mCoro$03915693 --> Zum 19. Sonntag nach Trinitatis
I, [2018-01-29T09:45:44.920457 #29979]  INFO -- : lab.rism: 290003265: =240  10$aZum 18$kSonntag nach Trinitatis$mCoro$03902831 --> Zum 18. Sonntag nach Trinitatis
I, [2018-01-29T09:45:45.033291 #29979]  INFO -- : lab.rism: 290003266: =240  10$aZum 17$kSonntag nach Trinitatis$mCoro$04120427 --> Zum 17. Sonntag nach Trinitatis
I, [2018-01-29T09:45:45.145454 #29979]  INFO -- : lab.rism: 290003268: =240  10$aZum 15$kSonntag nach Trinitatis$mCoro$04244507 --> Zum 15. Sonntag nach Trinitatis
I, [2018-01-29T09:45:45.245449 #29979]  INFO -- : lab.rism: 290003269: =240  10$aZum 12$kSonntag nach Trinitatis$mCoro$04244496 --> Zum 12. Sonntag nach Trinitatis
I, [2018-01-29T09:45:45.337080 #29979]  INFO -- : lab.rism: 290003270: =240  10$aZum 13$kSonntag nach Trinitatis$mCoro$04244500 --> Zum 13. Sonntag nach Trinitatis
I, [2018-01-29T09:45:45.426075 #29979]  INFO -- : lab.rism: 290003271: =240  10$aZum 19$kSonntag nach Trinitatis$mCoro$03915693 --> Zum 19. Sonntag nach Trinitatis
I, [2018-01-29T09:45:45.712314 #29979]  INFO -- : lab.rism: 290003272: =240  10$aZum 20$kSonntag nach Trinitatis$mCoro$04244492 --> Zum 20. Sonntag nach Trinitatis
I, [2018-01-29T09:45:45.820608 #29979]  INFO -- : lab.rism: 290003273: =240  10$aZum 21$kSonntag nach Trinitatis$mCoro$04244489 --> Zum 21. Sonntag nach Trinitatis
I, [2018-01-29T09:45:45.912238 #29979]  INFO -- : lab.rism: 290003274: =240  10$aZum 22$kSonntag nach Trinitatis$mCoro$04244475 --> Zum 22. Sonntag nach Trinitatis
I, [2018-01-29T09:45:46.001141 #29979]  INFO -- : lab.rism: 290003275: =240  10$aZum 23$kSonntag nach Trinitatis$mCoro$04244478 --> Zum 23. Sonntag nach Trinitatis
I, [2018-01-29T09:45:46.167879 #29979]  INFO -- : lab.rism: 290003276: =240  10$aZum 23$kSonntag nach Trinitatus$mCoro$04244478 --> Zum 23. Sonntag nach Trinitatus
I, [2018-01-29T09:45:46.312450 #29979]  INFO -- : lab.rism: 290003277: =240  10$aZum 24$kSonntag nach Trinitatis$mCoro S$04244482 --> Zum 24. Sonntag nach Trinitatis
I, [2018-01-29T09:45:46.412322 #29979]  INFO -- : lab.rism: 290003278: =240  10$aZum 25$kSonntag nach Trinitatis$mCoro$04244485 --> Zum 25. Sonntag nach Trinitatis
I, [2018-01-29T09:45:46.784862 #29979]  INFO -- : lab.rism: 290003282: =240  10$aIntroiten für den gottesdienstlichen Gebrauch in der Kreuzkirche zu Dresden$kScetches$mCoro$03931024 --> Introiten für den gottesdienstlichen Gebrauch in der Kreuzkirche zu Dresden. Scetches
I, [2018-01-29T09:45:46.995880 #29979]  INFO -- : lab.rism: 290003283: =240  10$aZum 18$kSonntag nach Trinitatis. Scetches$mCoro$03902831 --> Zum 18. Sonntag nach Trinitatis. Scetches
I, [2018-01-29T09:45:47.170776 #29979]  INFO -- : lab.rism: 300040305: =240  10$a12 Etudes Op$k25$mpf$nKobC 25$rA|b$03967680 --> 12 Etudes Op. 25
