"510 RISM Serie";"RISM-ID";"852 $a Bibliothek ";"852 $q";"852 $c";"856 $u";"856 $z";"856 $x";"691 $a";"691 $n";"500 Bemerkungen ";
;990048313;"E-Bu";"complete";;;;;;;;"Beleg: Andrea Puentes-Blanco, ""E-Bu 07 XVI-2126-3, E-Bu 07 XVI-2127-3, E-Bu 07 XVI-2128-3, E-Bu 07 XVI-2129-3, E-Bu 07 XVI-2130-3, E-Bu 07 XVI-2131-3 [RISM P715]"", Books of Hispanic Polyphony, hg. E. Ros-Fábregas (Zugriff: 18.02.2021), https://hispanicpolyphony.eu/source/21779), einen Stimmbuchsatz ohne Tenor in E-Bbc (OPAC: https://cataleg.bnc.cat/record=b1580477~S13*eng"
;990048313;"E-JA";"A, T, B";;"https://hispanicpolyphony.eu/source/17945";"Link to record in Books of Hispanic Polyphony";"Sonstige";;;;
;990049472;"GB-Lbl ";"ohne bc";"R.M.15.f.1.(9.)";;;;;;;"weiteres Exemplar neben dem in RISM schon angegebenen (Music Collections C.57.f.; nur prima pars) "
;990068461;"D-B ";;;;;;;;;
;991005766;"D-B";;;;;;;;;
;990019634;"NL-Uim ";;;;;;;;;
;450059037;"NL-BUkoopman";;;;;;;;;
;1000000636;"NL-DHnmi ";;;;;;;;"  ";
;1001208697;"D-Dl ";;"MB 8° 78 Rara";;;;;;"  ";
;1001264171;"NL-DHnmi ";;;;;;;;"  ";
;1000000105;"D-HRD";"B ";;;;;;;"Titelblatt und die ersten beiden Notenseiten fehlen";
;1001208328;"D-Dl ";;"MB 8° 179 Rara";;;;;;"  ";
;653005743;"D-HVl ";;;;;;;;"  ";
;1001229777;"B-Br  ";;"V. B. 3577 C";;;;;;"  ";
;1001209836;"D-Dl ";;"MB 8° 423 Rara";;;;;;"  ";
;1001209836;"D-Dl ";;"MB 8° 424,2 Rara";;;;;;"  ";
;1001208568;"D-Dl ";;"MB 8° 387,1 Rara";;;;;;"  ";
;1001206226;"D-Dl ";;"MB 8° 481 Rara";;;;;;"  ";
;1001206226;"NL-DHnmi";;;;;;;;"  ";
;653005905;"D-LÜh ";;"1929 A 7";;;;;;"  ";
;653005905;"D-Dl ";;"MB 8° 611 Rara";;;;;;"  ";
;1001098261;"D-KNu ";;;;;;;;"  ";
;402006138;"NL-At";;;;;;;;;
;402006164;"D-LÜh ";;"A 124";;;;;;;
;553002209;"D-LÜh ";;"S 17";;;;;;;
;553005028;"D-LÜh ";;"S 7";;;;;;;
;653005800;"B-Bc";;;;;;;;;
;653005872;"NL-Uim ";;;;;;;;;
;654000413;"D-LÜh  ";;"A 307";;;;;;;
;1000000637;"NL-DHnmi";;;;;;;;;
;1001005205;"D-LÜh ";;"S 24";;;;;;;
;1001005205;"NL-DHnmi ";;;;;;;;;
;1001005249;"D-LÜh ";;"S 24a";;;;;;;
;1001044161;"NL-At";;;;;;;;;
;1001044349;"NL-Uim ";;;;;;;;;
;1001046142;"NL-Uim ";;;;;;;;;
;1001048604;"NL-At";;;;;;;;;
;1001159523;"A-Wnh";;"SH.J.S.Bach.5";;;;;;;
;1001094913;"NL-At";;;;;;;;;
;1001102015;"NL-DHa ";;;;;;;;;
;1101114441;"A-Wnh";;"SH.J.S.Bach.29";;;;;;;
;1001148645;"NL-At ";;;;;;;;;
;1001148849;"NL-At ";;;;;;;;;
;1001151153;"NL-At ";;;;;;;;;
;1001154684;"D-HR";;;;;;;;;
;1001188660;"PL-WRu ";"S, A, B";;;;;;;;
;1001194445;"NL-Uim ";;;;;;;;;
;1001199884;"D-LÜh ";;"S 8a,b,c";;;;;;;
;1001200111;"NL-DHnmi";;"10 C 11";;;;;;;
;1001204583;"A-Wnh";;"SH.J.S.Bach.90";;;;;;;
;1001205298;"NL-DHnmi";;"10 B 34";;;;;;;
;1001251919;"NL-At ";;;;;;;;;
;1001262322;"NL-DHnmi";;;;;;;;;
;1001273470;"D-HR";;;;;;;;;
