DNB,ID
5089893-0,38732
10079245-5,38759
2078423-5,38873
2137557-4,38877
127664-5,38917
128103-3,38918
2123693-8,38932
31575-8,39011
1222410-8,39012
5104628-3,39017
510684-9,39110
2018088-3,39292
2032996-9,39327
5116018-3,39353
51335-0,39424
18943-1,39432
68211-1,39529
2129096-9,39549
2017949-2,39550
3032318-6,39551
10042801-0,39580
2127361-3,39612
10098623-7,39637
10095502-2,39639
2022034-0,39730
10097004-7,39731
5162473-4,39837
1009716-8,39888
2028111-0,40006
10070282-X,40064
2029798-1,40164
2022232-4,40229
64403-1,40257
2036038-1,40259
806636-X,40261
5263210-6,40299
211522-0,40382
310120-4,40446
1017250-6,40455
145872-3,40507
10015105-X,40508
4023604-3,40535
2149866-0,40664
260196-5,40702
17113-X,40703
17112-8,40704
5079472-3,40705
37074-5,40706
2018335-5,40768
1300429-3,40806
35536-7,40807
5255160-X,40859
31644-1,40963
31254-X,41080
80097-1,41081
37862-8,41134
45482-5,41146
5521920-2,41150
11586-1,41164
2046372-8,41170
26158-0,41212
5323965-9,41632
16025-8,41648
113962-9,41664
2012101-5,41667
5344576-4,41677
1018703-0,41679
35254-8,41692
83592-4,41712
17531-6,41713
2001557-4,41737
3054115-3,41739
10045429-X,30000770
500697-1,41743
2019143-1,41771
1049106-5,41783
35215-9,41787
6918-8,41789
1031761-2,41814
605564-3,41822
2013187-2,41823
2022442-4,41845
2024977-9,41847
2011994-X,41898
122172-3,41921
809487-1,41945
1056989750,40000527
36693-6,41969
5038321-8,41970
5105301-9,41976
210324-2,42021
17082-3,42026
2119470-1,42046
2022493-X,42063
2051813-4,42093
2051830-4,42094
5127388-3,42099
31241-1,30001025
74124-3,42180
2001071-0,42181
103024-3,42182
2000498-9,42185
2014000-9,42194
2008678-7,42201
2018409-8,42202
35325-5,30000987
34273-7,42313
34275-0,42316
5021845-1,42317
35497-1,42324
35499-5,42326
81791-0,42338
5124320-9,42347
270047-5,42383
10117743-4,42384
1000888-3,42392
809272-2,42395
1043603-0,42427
1048727-X,42431
2024437-X,42485
5110967-0,42486
512625-3,42487
10038428-6,42507
610218-9,42521
10118076-7,42522
2048504-9,42528
10093458-4,42530
2053621-5,42535
10118357-4,42536
2071277-7,42542
10118538-8,42543
2082323-X,42560
10118160-7,42561
2084479-7,42564
2092399-5,42565
10118368-9,42566
10093571-0,42572
2116012-0,42585
5222372-3,42586
2127584-1,42594
1234105-8,42595
10118273-9,42596
10117796-3,42598
5004115-0,42609
10117824-4,42610
10117957-1,42628
10117936-4,42630
5088751-8,42639
5567954-7,42640
46257-3,42647
5096986-9,42649
5102966-2,42656
1227179-2,42662
1900140-X,42663
5110965-7,42664
5170017-7,42705
10118040-8,42706
408757-4,42707
2158631-7,42714
10117136-5,42732
1239470-1,42770
10067915-8,42771
5335641-X,42780
10118267-3,42781
10117970-4,42805
10014262-X,42809
2180686-X,42810
10117961-3,42811
5521622-5,42821
1603333-4,42822
10009982-8,42840
3050293-7,42844
3050329-2,42849
10117732-X,42850
412016-4,42875
10117960-1,42876
10118554-6,42888
10059074-3,42915
10118202-8,42916
412724-9,42917
10046564-X,42918
5082565-3,42919
10118188-7,42920
5540961-1,42932
10117840-2,42933
4543-3,43010
10067907-9,43085
10101728-5,43086
10101743-1,43087
10067913-4,43088
10101750-9,43089
2021749-3,43090
1603445-4,43124
10117995-9,43126
10101747-9,43169
10113353-4,43304
10117928-5,43791
10118039-1,43898
10118042-1,43899
32910-1,43900
10118041-X,43901
10118072-X,43934
10118073-1,43935
10118165-6,44029
10118389-6,44254
2113281-1,44597
37642-5,44738
5084921-9,44740
5060871-X,44741
5052078-7,44748
19510-8,44768
5198917-7,44794
5198918-9,44795
380233-4,44808
26498-2,44809
2048649-2,44858
35626-8,44864
35534-3,44885
508280-8,44900
5250483-9,44915
515155-7,44919
2162237-1,44920
2098594-0,44940
2108474-9,44944
5070292-0,44945
2031441-3,44962
2053421-8,44973
5043124-9,44981
2064237-4,44983
5073612-7,44986
74505-4,44987
10015274-0,45129
17566-3,45162
6037152-3,45180
2009237-4,45196
5153980-9,45197
19462-1,45233
16007-6,45237
10053852-6,45336
35365-6,45347
5034597-7,45411
1080353-1,45433
13119-2,45460
2123844-3,45461
111390-2,45481
117379-0,45484
2057732-1,45485
1002956-4,45516
2091135-X,45518
5037364-X,45534
142589-4,45574
146096-1,45612
30122-X,45630
1237342-4,45631
2016874-3,45641
37779-X,45663
2017958-3,45690
10030976-8,45730
1232166-7,45739
2125846-6,45808
1004249-0,45811
10032016-8,45876
2018524-8,45896
505740-1,45902
5006274-8,45903
2126978-6,45953
2032670-1,45954
10045855-5,45974
3036041-9,45981
43152-7,45995
1098201-2,46000
1001829-3,46026
2005806-8,46149
1026703-7,46154
2015138-X,46192
512580-7,46200
5267528-2,46235
5286415-7,46279
2096464-X,46280
1026013-4,46281
1088330-7,46282
35770-4,46309
301968-8,46310
125620-8,46313
5168794-X,46315
2013270-0,46319
5118476-X,46326
10360-3,46328
19715-4,46340
18617-X,46367
115060-1,46373
2028935-2,46374
37147-6,46389
5332296-4,46394
39299-6,46406
123965-X,46407
1220756-1,46426
16002-7,46459
50381-2,46460
5005365-6,46481
10049360-9,46529
10084365-7,46636
39421-X,46654
5300924-1,46694
2003448-9,46720
10028801-7,46771
501850-X,46833
42153-4,46836
1226696-6,46888
1089289-8,46972
5009310-1,46976
