"Komponist","Einordnungstitel","RISM Dokumentnummer","Signatur 852 $c"
"Graun, Carl Heinrich","Der Tod Jesu",990022620,"Graun 1/I"
"Grétry, André-Ernest-Modeste","Le Huron",990023117,"Grétry 4"
"Grétry, André-Ernest-Modeste","Le Tableau parlant",990023344,"Grétry 5/I"
"Grétry, André-Ernest-Modeste","Zémire et Azor",990023365,"Grétry 9"
"Grill, Franz","3 Quartets",990023464,"Grill 1"
"Grill, Franz","Quartets",990023465,"Grill 3"
"Grill, Franz","3 Quartets",990023467,"Grill 1"
"Grill, Franz","6 Quartets",990023468,"Grill 2"
"Guglielmi, Pietro Alessandro","L'inganno amoroso",990023785,"Sammelband 4/I"
"Guglielmi, Pietro Alessandro","La pastorella nobile",990023798,"Sammelband 4/I"
"Gyrowetz, Adalbert","Symphonies",1001257394,"Gyrowetz 1"
"Hanke, Karl","Symphonies",990026228,"Hanke 1"
"Harelbecanus, Sigerus Paul ","Psalms",990026250,"F.K. Mus. 51"
"Hasse, Johann Adolf ","Symphonies",990026464,"Hasse 1"
"Häusler, Ernst ","Rondo alla polacca",990025946,"Häusler 2"
"Häusler, Ernst ","La Nitteti",991020009,"PrD mus. 12"
"Haydn, Joseph","Die Sieben Letzten Worte unseres Erlösers am Kreuze",990026684,"J. Haydn 117/I"
"Haydn, Joseph","Die Schöpfung",990026686,"J. Haydn 116/I"
"Haydn, Joseph","Die Jahreszeiten",990026708,"J. Haydn 118"
"Haydn, Joseph","Armida",990026721,"Sammelband 4/II"
"Haydn, Joseph","La vera costanza",990026738,"Sammelband 4/II"
"Haydn, Joseph","Songs",990026897,"F.K. Mus. 115"
"Haydn, Joseph","Symphonies",990026918,"J. Haydn 60"
"Haydn, Joseph","Symphonies",990026919,"J. Haydn 61"
"Haydn, Joseph","Symphonies",990027058,"J. Haydn 17"
"Haydn, Joseph","Symphonies",990027059,"J. Haydn 78"
"Haydn, Joseph","Symphonies",990027298,"J. Haydn 54/II"
"Haydn, Joseph","Symphonies",990027356,"J. Haydn 70"
"Haydn, Joseph","Symphonies",990027433,"J. Haydn 77"
"Haydn, Joseph","Overtures",990027445,"J. Haydn 73"
"Haydn, Joseph","Operas",990027450,"J. Haydn 75"
"Haydn, Joseph","Divertimentos",990027503,"J. Haydn 94"
"Haydn, Joseph","Quartets",990027645,"J. Haydn 108"
"Haydn, Joseph","Sonatas",990027660,"J. Haydn 113"
"Haydn, Joseph","3 Quartets",990027703,"J. Haydn 111"
"Haydn, Joseph","Trios",990027873,"J. Haydn 100"
"Haydn, Joseph","Symphonies",990028613,"Sammelband 7"
"Haydn, Joseph","Arias",990028867,"Sammelband 4/II"
"Haydn, Joseph","Insertions",990028868,"Sammelband 4/II"
"Haydn, Michael","Symphonies",990028972,"Joh. M. Haydn 1"
"Herbain, Chevalier d'","La Paysanne curieuse",990029209,"Herbain 1"
"Himmel, Friedrich Heinrich","Fanchon das Leyermädchen",990029432,"Himmel 3/I"
"Himmel, Friedrich Heinrich","Trauer-Cantate",990029474,"Himmel 4"
"Hoffmeister, Franz Anton","Quartets",990029996,"Hoffmeister 11"
"Hoffmeister, Franz Anton","3 Quartets",990029998,"Hoffmeister 14"
"Hoffmeister, Franz Anton","6 Quartets",990030001,"Hoffmeister 13"
"Hoffmeister, Franz Anton","Un cosa rara",990030002,"Hoffmeister 15"
"Hoffmeister, Franz Anton","Quartets",990030010,"Hoffmeister 16"
"Hoffmeister, Franz Anton","Quartets",990030020,"Hoffmeister 12"
"Hoffmeister, Franz Anton","3 Sonatas",990030217,"Sammelband 7"
"Hoffstetter, Johann Urban Alois","6 Symphonies",990030310,"Hoffstetter 1"
"Holzbauer, Ignaz","Günther von Schwarzburg",990030418,"Holzbauer 16/I"
"Hurka, Friedrich Franz","Sämtliche Lieder und Gesänge",990031885,"PrD mus. 5"
"Jommelli, Niccolò","L'Olimpiade",990032646,"Jomelli 21"
"Keifferer, Christian","Sacred songs",990033078,"F.K. Mus. 36"
"Kerle, Jacobus de","Sacred songs",990033282,"F.K. Mus. 4.5/1"
"Kleinknecht, Jakob Friedrich","Concertos",992005589,"Kleinknecht 1"
"Knecht, Justin Heinrich","Psalms",990033767,"Knecht 2"
"Kohout, Josef","Le Serrurier",990052375,"Kohaut 1"
"Kospoth, Otto Carl Erdmann","Grande sinfonie",990034156,"Kospoth 14"
"Kospoth, Otto Carl Erdmann","Symphonies",990034158,"Kospoth 15"
"Kospoth, Otto Carl Erdmann","Symphonies",990034160,"Kospoth 16"
"Kospoth, Otto Carl Erdmann","Symphonies",990034161,"Kospoth 17"
"Kospoth, Otto Carl Erdmann","Concertos",990034163,"Sammelband 7"
"Kospoth, Otto Carl Erdmann","6 Quartets",990034170,"Kospoth 18"
"Kospoth, Otto Carl Erdmann","Symphonies",992005604,"Kospoth 13"
"Koželuh, Leopold","Quanto è mai tormentosa",990034177,"Koželuch 8"
"Koželuh, Leopold","Symphonies",990034221,"Koželuch 5"
"Koželuh, Leopold","3 Quartets",990034266,"Koželuch 6"
"Koželuh, Leopold","3 Sonatas",990034285,"Sammelband 7"
"Koželuh, Leopold","3 Sonatas",990034329,"Sammelband 7"
"Koželuh, Leopold","Sonatas",990034551,"Koželuch 9"
"Kreusser, Georg Anton","Der Tod Jesu",990034805,"Kreusser 5"
"Kreusser, Georg Anton","6 Symphonies",990034813,"Kreusser 2"
"Krommer, Franz","Partitas",990035305,"Krommer 2"
"Krommer, Franz","Wind music",990035314,"Krommer 5"
"Krommer, Franz","Wind music",990035319,"Krommer 4"
"Krommer, Franz","Wind music",990035322,"Krommer 6"
"Krommer, Franz","Wind music",990035329,"Krommer 3"
"Krommer, Franz","Partitas",990035331,"Krommer 1"
"La Lance, Chevalier de","3 Trios",990036122,"Le Lance 2"
"La Lance, Chevalier de","Concertos",990036123,"Le Lance 1"
"Lambardi, Girolamo","Antiphonarium vespertinum dierum festorum totius anni, pars 2",1001303843,"F.K. Mus. 51 II. Abth."
"Lambardi, Girolamo","Antiphonarium vespertinum dierum festorum totius anni, pars 3",1001303844,"F.K. Mus. 51 II. Abth."
"Lasser, Johann Baptist","Masses",990036536,"Lasser 1"
"Lasso, Orlando di","13 Motets",990036620,"F.K. Mus. 6.7/3"
"Lasso, Orlando di","Chansons",990036636,"F.K. Mus. 6.7/2"
"Lasso, Orlando di","Neue teutsche Liedlein, Teil 2",990036658,"F.K. Mus. 4.5/3"
"Lasso, Orlando di","Patrocinium musices III",990036661,"F.K. Mus. 55 II. Abth."
"Lasso, Orlando di","Motets",990036702,"F.K. Mus. 6.7/1"
"Lasso, Orlando di","Sacrae cantiones",990036724,"F.K. Mus. 47-49/1"
"Lasso, Orlando di","Prophetiae Sibyllarum",990036801,"F.K. Mus. 62.63/1"
"Lasso, Orlando di ","Patrocinium musices II",990036660,"F.K. Mus. 54 Abth. II."
"Lasso, Orlando di ","Patrocinium musices III",990036661,"F.K. Mus. 55 Abth. II."
"Lasso, Orlando di ","Sacrae cantiones",990036667,"F.K. Mus. 51/1"
"Lasso, Orlando di ","Motets",990036701,"F.K. Mus. 6./7."
"Lasso, Orlando di ","20 Motets",990036725,"F.K. Mus. 47-50/2"
"Lasso, Orlando di ","Lectiones sacrae novem ex libris Hiob",990036726,"F.K. Mus. 47-49"
"Lasso, Orlando di ","Villanelle",990036727,"F.K. Mus. 53"
"Lasso, Orlando di ","Patrocinium musices",990036760,"F.K. Mus. 56 Abth. II."
"Lasso, Orlando di ","Patrocinium musices",990036775,"F.K. Mus. 57 Abth. II."
"Lasso, Orlando di ","Masses",990036809,"F.K. Mus. 58 Abth. II."
"Laucher, Joseph Anton","Requiems",990036871,"Laucher 1"
"Lobo, Duarte","Sacred songs",990038242,"F.K. Mus. 52 Abth. II."
"Lully, Jean-Baptiste","Acis et Galatée",990038565,"XL K 33"
"Lully, Jean-Baptiste","Alceste",990038568,"XL K 35"
"Lully, Jean-Baptiste","Atys",990038595,"XL K 36"
"Lully, Jean-Baptiste","Les Fêtes de l'Amour et de Bacchus",990038613,"XL K 40"
"Lully, Jean-Baptiste","Isis",990038618,"XL K 42"
"Lully, Jean-Baptiste","Persée",990038622,"XL K 37"
"Lully, Jean-Baptiste","Phaëton",990038635,"XL K 41"
"Lully, Jean-Baptiste","Proserpine",990038645,"XL K 39"
"Lully, Jean-Baptiste","Roland",990038656,"XL K 30"
"Lully, Jean-Baptiste","Thésée",990038667,"XL K 38"
"Lully, Jean-Baptiste","Idylle sur la paix",990038673,"XL K 32"
"Lully, Jean-Baptiste","Le Temple de la Paix",990038676,"XL K 31"
"Lully, Jean-Louis","Zéphire et Flore",990038698,"XL K 34"
"Luython, Carl","Masses",990038743,"F.K. Mus. 53. Abth. II."
"Marais, Marin","Semele",990039131,"XL D 53"
"Marais, Marin","Pièces de viole, livre 1",990039133,"XL D 57"
"Marais, Marin","Pièces de viole, livre 1",990039135,"XL D 61"
"Marais, Marin","Pièces de viole, livre 2",990039141,"XL D 58"
"Marais, Marin","Pièces de viole, livre 4",990039146,"XL D 56"
"Marais, Marin","Pièces de viole, livre 4",990039147,"XL D 60"
"Marais, Marin","Pièces de viole, livre 5",990039148,"XL D 55"
"Marais, Marin","Pièces de viole, livre 5",990039149,"XL D 59"
"Marais, Marin","Pièces de viole, livre 2",991022297,"XL D 54"
"Marenzio, Luca","Villanelle",990039335,"F.K. Mus. 35"
"Marenzio, Luca","Villanelle",990039335,"F.K. Mus. 35"
"Marenzio, Luca","Canzonette alla napolitana",990039341,"F.K. Mus. 35"
"Marenzio, Luca","Villanelle",990039346,"F.K. Mus. 35"
"Marenzio, Luca","Villanelle",990039346,"F.K. Mus. 35"
"Marenzio, Luca","Villanelle",990039350,"F.K. Mus. 35"
"Marenzio, Luca","Villanelle",990039350,"F.K. Mus. 35"
"Marenzio, Luca","Villanelle",990039353,"F.K. Mus. 35"
"Marenzio, Luca","Villanelle",990039353,"F.K. Mus. 35"
"Martín y Soler, Vicente","Una cosa rara",990039612,"Dittersdorf 38"
"Martini, Johann Paul Aegidius","Henri IV",990039795,"Martini 1"
"Maurer, Franz Anton","La scuola dei maritati",990040130,"Maurer 1"
"Mayr, Johann Simon","La Lodoiska",991000542,"Sammelband 4/II"
"Mayr, Johann Simon","La Lodoiska",991000593,"Mayr 2/I"
"Mederitsch, Johann Gallus","6 Quartets",990040403,"Mederitsch 1"
"Monsigny, Pierre-Alexandre","Le Déserteur",990041767,"Monsigny 3/I"
"Montesardo, Girolamo","L'allegre notti di Fiorenza",990042036,"F.K. Mus. 36/6"
"Mouret, Jean-Joseph","Pirithous",990042551,"XL D 50"
"Mozart, Wolfgang Amadeus","Don Giovanni. Overture",990043107,"W. A. Mozart 24/I"
"Mozart, Wolfgang Amadeus","Così fan tutte",990043313,"W. A. Mozart 25/II"
"Mozart, Wolfgang Amadeus","La clemenza di Tito",990043695,"Sammelband 4/I"
"Mozart, Wolfgang Amadeus","Non temer amato bene",990043842,"Sammelband 4/II"
"Mozart, Wolfgang Amadeus","Symphonies",990044055,"W. A. Mozart 5"
"Mozart, Wolfgang Amadeus","Symphonies",990044101,"W. A. Mozart 6"
"Mozart, Wolfgang Amadeus","Symphonies",990044117,"W. A. Mozart 7"
"Mozart, Wolfgang Amadeus","Deutsche Tänze",990044210,"W. A. Mozart 18/II"
"Mozart, Wolfgang Amadeus","Minuets",990044221,"W. A. Mozart 18/I"
"Mozart, Wolfgang Amadeus","Concertos",990044341,"W. A. Mozart 11"
"Mozart, Wolfgang Amadeus","Concertos",990044350,"W. A. Mozart 12"
"Mozart, Wolfgang Amadeus","Concertos",990044360,"W. A. Mozart 13"
"Mozart, Wolfgang Amadeus","Concertos",990044378,"W. A. Mozart 14"
"Mozart, Wolfgang Amadeus","Concertos",990044381,"W. A. Mozart 13"
"Mozart, Wolfgang Amadeus","Divertimentos",990044456,"W. A. Mozart 16/II"
"Mozart, Wolfgang Amadeus","Divertimentos",990044459,"W. A. Mozart 16/III"
"Mozart, Wolfgang Amadeus","Divertimentos",990044460,"W. A. Mozart 16/I"
"Mozart, Wolfgang Amadeus","Quintets",990044484,"W. A. Mozart 15/III"
"Mozart, Wolfgang Amadeus","Quintets",990044509,"W. A. Mozart 15/I"
"Mozart, Wolfgang Amadeus","Quintets",990044525,"W. A. Mozart 15/II"
"Mozart, Wolfgang Amadeus","3 Quartets",990044705,"W. A. Mozart 15"
"Mozart, Wolfgang Amadeus","Sonatas",990045026,"W. A. Mozart 9"
"Mozart, Wolfgang Amadeus","Sonatas",990045076,"W. A. Mozart 9"
