1597,990001089,A 1088; AA 1088
1587,990001091,A 1090
1590,990001092,A 1091
1599,990001093,A 1092
1598,990001094,A 1093
1600,990001096,A 1095
1599,990001119,A 1118
1583,990001214,A 1213
1585,990001215,A 1214
1592,990001216,A 1215
1552,990001235,A 1234
1563,990001236,A 1235
1567,990001237,A 1236; AA 1236
1568,990001238,A 1237; AA 1237
1570,990001239,A 1238
1577,990001240,A 1239
1547,990001242,A 1241; AA 1241
1551,990001243,A 1242; AA 1242
1554,990001244,A 1243
1565,990001245,A 1244
1567,990001248,A 1247
1573,990001249,A 1248
1564,990001250,A 1249
1556,990001251,A 1250; AA 1250
1588,990001252,A 1251
1575,990001260,A 1259
1578,990001261,A 1260
1587,990001262,A 1261
1581,990001263,A 1262
1589,990001264,A 1263; AA 1263
1592,990001265,A 1264
1571,990001268,A 1267
1600,990001291,A 1290
1542,990001292,A 1291
1557,990001305,A 1304
1561,990001306,A 1305; AA 1305
1571,990001307,A 1306
1559,990001312,A 1311
1587,990001313,A 1312; AA 1312
[1551],990001324,A 1323
1551,990001326,A 1325
1553,990001327,A 1326
1553,990001328,A 1327
1556,990001329,A 1328
1557,990001330,A 1329; AA 1329
1558,990001331,A 1330
1559,990001332,A 1331
1561,990001333,A 1332
1566,990001334,A 1333
1572,990001335,A 1334
1579,990001336,A 1335
1581,990001337,A 1336; AA 1336
1585,990001338,A 1337; AA 1337
1566,990001340,A 1339
1568,990001341,A 1340
1568,990001342,A 1341
1570,990001343,A 1342
1575,990001344,A 1343
1585,990001345,A 1344
1586,990001346,A 1345
1597,990001347,A 1346
1592,990001356,A 1355
1597,990001357,A 1356
1552,990001373,A 1372
1560,990001374,A 1373
(1539),990001376,A 1375
1556,990001379,A 1378
1557,990001385,A 1384; AA 1384
1567,990001387,A 1386; AA 1386
1567,990001388,A 1387; AA 1387
1569,990001389,A 1388; AA 1388
1569,990001390,A 1389; AA 1389
1561,990001391,A 1390
1597,990001393,A 1392; AA 1392
1581,990001398,A 1397
1582,990001615,C 1681
1600,990001685,C 1692
1542,990001766,C 1707
1542,990001770,C 1708
1552,990001771,C 1709
1564,990001773,C 1710; CC 1710
1554,990001774,C 1711
1555,990001776,C 1712
1558,990001778,C 1713; CC 1713
1559,990001779,C 1714; CC 1714
1558,990001781,C 1715; CC 1715
1558,990001782,C 1716; CC 1716
1568,990001783,C 1717
1570,990001785,C 1718
1599,990001789,C 1719
1574,990001908,C 1742; CC 1742
1595,990002478,A 2477
1599,990002481,A 2480
1600,990002483,A 2482
1598,990002501,A 2500
1598,990002502,A 2501
1570,990002506,A 2505
1570,990002507,A 2506
1573,990002508,A 2507
1576,990002509,A 2508
1585,990002510,A 2509
1574,990002511,A 2510
1580,990002512,A 2511
1586,990002513,A 2512
1586,990002514,A 2513
1588,990002515,A 2514
1590,990002516,A 2515
1574,990002518,A 2517; AA 2517
1582,990002519,A 2518; AA 2518
1575,990002521,A 2520
1582,990002522,A 2521
1584,990002523,A 2522
1587,990002524,A 2523
1587,990002525,A 2524
1592,990002526,A 2525
1576,990002527,A 2526; AA 2526
1581,990002528,A 2527
1590,990002529,A 2528; AA 2528
1576,990002530,A 2529
1585,990002531,A 2530
1590,990002532,A 2531
1578,990002533,A 2532; AA 2532
1582,990002534,A 2533
1586,990002535,A 2534
1590,990002536,A 2535; AA 2535
1596,990002537,A 2536
1598,990002538,A 2537
1578,990002539,A 2538; AA 2538
1583,990002540,A 2539
1580,990002541,A 2540
1586,990002542,A 2541
1596,990002543,A 2542
1581,990002544,A 2543
