ID,Incipitnr,PIKaDo 823,PIKaDo 824
122170, 1.5.1, c;2/4, 
122175, 1.1.1, c;c, 
122175, 1.4.1, c;3/8, 
122177, 1.2.1, c;3/2, 0
122177, 1.4.1, c;c, 
122180, 1.1.1, c;3/4, 0
122180, 1.3.1, c;c, 
122180, 1.4.1, c;3/8, 
122184, 1.3.1, c;c, 
122191, 1.3.1, c;c, 
123269, 1.4.1, c;c, 
123269, 1.5.1, c;c, 
123608, 1.1.1, c;c, 
123608, 1.2.1, c;c, 
123608, 1.3.1, c;c, 
123699, 1.2.1, c;2/4, 
123849, 1.9.1, c;c/, 
123934, 1.1.1, c;c/, 
123935, 1.9.1, c;c/, 
123975, 1.2.1, c;3/8, 
123976, 1.4.1, c;3/4, 
124348, 1.1.1, c;3/4, 
124348, 1.6.1, c;2/4, 
124423, 1.2.1, c;3/4, 
124428, 1.2.1, c;3/4, 
124585, 1.1.1, c;3/8, 
124601, 1.1.1, c;c, 
124601, 1.2.1, c;c, 
124609, 1.4.1, c;c, 
124613, 1.2.1, c;3/4, 
124721, 5.2.1, c;6/8, 
124729, 1.4.1, c;2/4, 
124992, 1.3.1, c;3/4, 
124992, 1.8.1, c;c, 
125001, 1.1.1, c;c, 
125001, 1.5.1, c;c, 
125019, 1.1.1, c;c, 
125019, 1.4.1, c;2/4, 
125019, 1.5.1, c;3/4, 
125028, 1.8.1, c;c/, 
125030, 1.1.1, c;4/2, 
125030, 1.3.1, c;3/4, 
125030, 1.4.1, c;4/2, 
125034, 1.1.1, c;4/2, 
125034, 1.4.1, c;2/4, 
125034, 1.8.1, c;c;4/2, 
125034, 1.10.1, c;4/2, 
125043, 1.1.1, c;c, 
125043, 1.2.1, c;c, 
125043, 1.3.1, c;3/2, 
125043, 1.4.1, c;c, 
125043, 1.7.1, c;c, 
125043, 1.8.1, c;c, 
125044, 1.7.1, c;3/8, 
125152, 1.1.1, c;3/8, 
125642, 1.8.1, c;c, 
125642, 1.9.1, c;c, 
125643, 1.3.1, c;c, 
125645, 1.3.1, c;c, 
125646, 1.10.1, c;c, 
125647, 1.6.1, c;c, 
125648, 1.5.1, c;c, 
125648, 1.9.1, c;3/4, 
125650, 1.7.1, c;c, 
125652, 1.1.1, c;c, 
125652, 1.3.1, c;c, 
125655, 1.3.1, c;c, 
125857, 1.1.1, c;c, 
125859, 1.1.1, c;c, 
125909, 1.3.1, c;3/4, 
125999, 1.1.1, c;3/8, 0
126012, 1.1.1, c;c/, 
126047, 1.1.1, c;2/4, 
126079, 1.3.1, c;3/4, 
126349, 1.7.1, c;c/, 
126829, 1.1.1, c;c, 
126829, 1.3.1, c;c, 
126998, 1.1.1, c;3/4, 
127238, 1.3.1, c;c, 
127238, 1.14.1, c;c, 
127311, 1.3.1, c;3/4, 
127357, 1.1.1, c;c, 
127479, 1.2.1, c;3/8, 
127479, 1.5.1, c;c, 
127479, 1.8.1, c;3/8, 
127515, 1.2.1, c;c, 
127569, 1.2.1, c;3/8, 
