ID,Term,Alternativ
50001806,Acclamations (sacred/secular),Akklamationen (sakral/weltlich)
50001807,chang‘ge (唱歌),"changge, 唱歌"
50001814,Fragments,Fragmente
50001815,Composition,
50001820,Hupfauf,"Hupfauff
Saltarelli tedesci"
50001825,Counterpoint,
50001828,Organology,
50001829,Physiology,
50001830,Acoustics,
50001831,Aeolian harp,
50001832,Plainchants,Cantus plani
50001833,Vihuela music,
50001853,Text documents,""
50001863,Ritornellos,"Ritornelli
Ritornelle
"
50001871,Banda pieces,
50001894,Composition treatises,
50001895,Introductions,
50001896,Catalogue of works,
50001897,Unterrichtsbücher,
50001903,Bailetes,""
50001918,Sainetes,""
50001919,Auto sacramental,""
