ID,Term,Alternativ
25455,Contrafacta,Kontrafakturen
25457,Cadenzas (voc.),Kadenzen (vok.)
25458,Farse,"Farce
Musical farce"
25459,Insertions,Einlagen
25460,Partsongs,"Part songs
Part-songs"
25462,Potpourris,"Mélanges
Medleys
Bouquets"
25467,Sketches,Skizzen
25469,Tenorlieder,""
25470,Capriccios (voc.),"Capriccios (vok.)
Caprices"
25471,Romances (voc.),Romanzen (vok.)
25472,Pastorales (voc.),Pastoralen (vok.)
25473,Ballettos (voc.),"Balletti
Ballettos (vok.)"
25476,Frottolas,Frottole
25477,Lections,Lesungen
25478,Canticles,Cantica
25479,Tonadillas,""
25480,Mazurkas,"Mazureks
Mazurken"
25482,Herrnhut chorales,Herrnhuter Chorstücke
25484,Compilations,""
25485,Tonos,""
25486,Singspiele,""
25487,Canons (voc.),Kanons (vok.)
25488,Tragédies lyriques,Tragédies en musique
25489,Invitatories,Invitatorien
25490,Dicta,""
25492,Historias,""
25493,Film music,Filmmusik
25494,Tientos,""
25495,Symbola,Devisen
25497,Wedding music,Hochzeitsmusik
25498,Versi (voc.),"Versetti
Versus (vok.)"
25500,Quartets (voc.),Quartette (vok.)
25501,Schottische,"Schottisch-Walzer
Ecossaisen-Walzer"
25505,Langaus,""
25506,Tangos,""
25507,Arrangements,Bearbeitungen
25508,Pastorales (inst.),Pastoralen (instr.)
25509,Ballades (forme fixe),Forme fixe
25511,Virelais (forme fixe),"Forme fixe
Chansons ballades"
25513,Rondeaux (forme fixe),Forme fixe
25514,Lais,"Leich
Leih"
25517,Bergerettes (voc.),Bergerettes (vok.)
25521,Voluntaries,""
25523,Françaises,Françaisen
25524,Schleifer,""
25525,Springtänze,""
25526,Paduanas,"Padovanas
Padoane"
25529,Chaconnes,"Ciaccone
Chaconas
Chaconies"
25533,Correnti,""
25534,Country dances,""
25539,Krakowiaks,"Krakauer Tänze
Cracoviennes"
25542,Mazurs,""
25543,Obereks,""
25544,Kujawiaks,""
25545,Foxtrots,"Quicksteps
Slowfoxes
Foxtrotts"
25548,Ständchen,""
25549,Rheinländer,Bayerische Polkas
25551,March songs,Marschlieder
25554,Ballads (voc.),Balladen (vok.)
25555,Burlesques,Burlesken
25558,Meditationes (Jesuit theater),""
25559,Barcarolles (voc.),Barkarolen (vok.)
25560,Schnadahüpfln,"Schnaderhüpferln
Gstanzl"
25563,Chiarentane,"Chiarenzane
Chiaranzane
Chiarantane
Chirinitane
Giaranzane"
25569,Children's songs,"Kinderlieder
Wiegenlieder
Lullabies"
25576,Album leaves,"Albumblätter
Blätter"
25579,Intermezzos (inst.),Intermezzi (instr.)
25581,Solos with bc,Solos with basso
25583,Airs (voc.),"Ayres
Airs à boire
Airs sérieux
Airs de cour
Airs (vok.)"
25588,Tutors (inst.),"Methods
Instrumentalschulen
Méthodes"
25590,Impromptus,""
25591,Nocturnes (inst.),""
25592,Humoresken,Humoresques
25593,Ballades (inst.),Balladen (instr.)
25594,Divisions,""
25595,Airs (dances),Airs (Tänze)
25596,Barcarolles (inst.),Barkarolen (instr.)
2000081,Orchesterlieder,""
3000014,Etudes (inst.),"Etüden (instr.)
Studii (instr.)"
3000023,Nonets (inst.),Nonette (instr.)
3000025,Octets (inst.),Oktette (instr.)
3000033,Quintets (inst.),Quintette (instr.)
3000036,Rondos (inst.),""
3000037,Septets (inst.),"Septette (instr.)
Settimini"
3000039,Sextets (inst.),Sextette (instr.)
