ID, Model, Unicode-Character, Sample
Source,350000404,TABULATOR,aGakuto ka[TABULATOR]學徒歌$mV$rG$
Source,350000410,TABULATOR,  10$aHuyu[TABULATOR]冬$mV$rC$04
Source,350000412,TABULATOR, 10$aInshi[TABULATOR]隱士$mV$rD$0
Source,350000416,TABULATOR,ngaku Ichi[TABULATOR]勸學一$mV$rC$
Source,350000417,TABULATOR,Kingaku Ni[TABULATOR]勸學二$mV$rC$
Source,350000418,TABULATOR, 10$aHoshi[TABULATOR]星$mV$rG$04
Source,350000419,TABULATOR,  10$aKuhu[TABULATOR]工夫$mV$rC$0
Source,350000423,TABULATOR, 10$aBokyo[TABULATOR]  望鄕$mV$rF
Source,350000429,TABULATOR,10$aA-o-ba[TABULATOR]靑葉$mV$rC$0
Source,350000432,TABULATOR, 10$aKisya[TABULATOR]汽車$mV$rG$0
Source,350000435,TABULATOR,Taisonouta[TABULATOR]ラヂオ體操の歌$mV
Source,400004898,TABULATOR,v; 14v-15r[TABULATOR]14v-15r$80
Source,400004899,TABULATOR,"; 15v-16r,[TABULATOR]15v-16r$80"
Source,400004902,TABULATOR,"; 18v-19r,[TABULATOR]18v-19r$80"
Source,400004903,TABULATOR,"; 19v-20r,[TABULATOR]19v-20r$80"
Source,400004907,TABULATOR,"; 23v-24r,[TABULATOR]23v-24r$80"
Source,400004908,TABULATOR,"; 24v-25r,[TABULATOR]24v-25r$80"
Source,400004909,TABULATOR,"; 25v-26r,[TABULATOR]25v-26r$80"
Source,400004912,TABULATOR,"; 28v-29r,[TABULATOR]28v-29r$80"
Source,400007408,TABULATOR,"2r; 1v-2r,[TABULATOR]1v-2r, 1v-"
Source,400056062,TABULATOR," 31,5 cm  [TABULATOR]$801=500"
Source,400173999,TABULATOR," 41r-42r, [TABULATOR]3r-4r$801"
Source,400193022,TABULATOR,"7r, 6r-6v,[TABULATOR]7v-8r$801"
Source,400193055,TABULATOR,"7r, 7r-8r;[TABULATOR]3v$801=5"
Source,400196444,TABULATOR, bc.fig)  [TABULATOR]$bp.7-8; 7
Source,402009858,TABULATOR,GD$o3/4$p [TABULATOR]'4B/''4.G6
Source,402009902,TABULATOR,nbB$o2/4$p[TABULATOR]''8C/4F8{E
Source,404000478,TABULATOR,=003353239[TABULATOR]$xOther$zD
Source,405000784,TABULATOR,$mV$oc/$p [TABULATOR]4-/=7/2.-'
Source,406003163,TABULATOR,"$mB$oc/$p [TABULATOR],2.C4C/CFG"
Source,406003453,TABULATOR,mS$o3/4$p [TABULATOR]=8/''4CC8C
Source,407003167,TABULATOR,nbBE$oc$p [TABULATOR]8''DC/4EDC
Source,408000018,TABULATOR,"4v, 4r-4v;[TABULATOR]4v-5r, 3v,"
Source,408000021,TABULATOR,"6r; 4v-5r,[TABULATOR]6r-6v, 9r-"
Source,408000022,TABULATOR,"7r, 6r-6v;[TABULATOR]6v, 5r-5v,"
Source,408000031,TABULATOR,"-14r, 12v,[TABULATOR]15v$801="
Source,408000032,TABULATOR,"g)$bf.11r,[TABULATOR]11r-11v, 1"
Source,408000043,TABULATOR,"v, 16r-19v[TABULATOR]18v-22r, 1"
Source,408000047,TABULATOR,"v, 32r-35v[TABULATOR]30r-32v$80"
Source,408000056,TABULATOR,ertorium. [TABULATOR]Largo$gC-1
Source,408000057,TABULATOR,ertorium. [TABULATOR]Andante$gC
Source,408000058,TABULATOR,ertorium. [TABULATOR]Maestoso$g
Source,408000059,TABULATOR,ertorium. [TABULATOR]Andante$gC
Source,408000060,TABULATOR,ertorium. [TABULATOR]Larghetto$
Source,408000061,TABULATOR,ertorium. [TABULATOR]Maestoso$g
Source,408000388,TABULATOR,u Magasin [TABULATOR][TABULATOR][TABULATOR][TABULATOR][TABULATOR][TABULATOR][TABULATOR][TABULATOR]  d
Source,408000464,TABULATOR,aris Chez [TABULATOR][TABULATOR][TABULATOR][TABULATOR][TABULATOR][TABULATOR][TABULATOR] Mau
Source,408000545,TABULATOR,= bc.fig);[TABULATOR]fl 1 and c
Source,408000699,TABULATOR,FC$o3/4$p [TABULATOR]'4DFA/''D-
Source,408000701,TABULATOR,DC-/$rC$t [TABULATOR] In conver
Source,408000703,TABULATOR,"v, 9v-10r;[TABULATOR]13v-14r, 1"
Source,408000708,TABULATOR,"n C$bf.13r[TABULATOR]11v, 11v, "
