SIGNATUR,KOMPONIST,EINORDNUNGSTITEL,300$a,590$b,RISM-ID,INDEX
Mus.859/3,"Bach, Carl Philipp Emanuel","Concertos - cemb, orch; HelB 474",7 parts,"8, 2, 2, 2, 2, 1, 1f.",240000983,01
Mus.840,"Bach, Carl Philipp Emanuel","Herr wert daß Scharen der Engel dir dienen - A, Coro (2), orch; BR-CPEB F 77",32 parts,"4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1f., 4, 4, 5, 4, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1f.",240000984,01
Mus.837,"Bach, Carl Philipp Emanuel","Gott hat den Herrn auferwecket - V (3), Coro, orch; BR-CPEB F 5","2 scores: 26, 24f.","",240000985,01
"","","",25 parts,"6, 6, 6, 6, 2, 2, 2, 4, 4, 1, 4, 6, 6, 4, 4, 4, 4, 2, 2, 2, 2, 1, 1, 1, 1f.","",02
Mus.856,Collection,2 Solfeggios - pf,1 part,2f.,240000986,01
Mus.709,"Adam, Johann","Concertos - ob, strings, bc",5 parts,"2, 2, 2, 2, 2f.",240000989,01
Mus.724,"Albrecht, Johann Lorenz","Herr Gott dich loben wir - Coro, orch, org",24 parts,"4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 2, 2, 1, 1, 2, 2,, 1, 2, 2, 4, 4, 4, 1f.",240000990,01
Mus.728,Collection,12 Preludes - cemb,1 part,8f.,240000991,01
Mus.794/1,"Avondano, Pedro António",Die Aufopferung Isaacs - Excerpts; orch,9 parts,"27, 27, 23, 23, 25, 11, 11, 9, 9f.",240000992,01
1 an Mus.5766/6,"Bach, Carl Philipp Emanuel",Sonatas - cemb; HelB 26,1 part,4f.,240000993,01
Mus.859/1,Collection,5 Sonatas - cemb,1 part,16f.,240000994,01
Mus.848,"Bach, Carl Philipp Emanuel","Sonatas - cemb, vl; HelB 504",2 parts,"4, 6f.",240001000,01
Mus.859/5,"Bach, Carl Philipp Emanuel","Sonatas - pf, cemb, orch; HelB 459",8 parts,"2, 2, 2, 2, 2, 2, 2, 2f.",240001001,01
Mus.849,"Bach, Carl Philipp Emanuel","Sonatas - vl (2), b; HelB 579",3 parts,"4, 4, 2f.",240001002,01
