ID,Anzahl Drucke,Digitalisat vorhanden
992006472,1,Nein
992006473,2,Nein
990059797,40,Ja
990049191,17,Ja
993120076,10,Nein
993120083,16,Ja
993120084,15,Ja
993120085,16,Ja
993120091,17,Ja
993120170,8,Ja
993120171,5,Ja
993120239,2,Nein
993120262,5,Ja
993120326,3,Ja
993120340,21,Ja
993120352,17,Ja
993120356,15,Nein
993120357,15,Nein
993120358,14,Nein
993120440,2,Nein
993120453,5,Nein
993120459,8,Nein
993120462,12,Ja
993120484,2,Nein
993120498,8,Ja
993120527,1,Nein
993120528,1,Nein
993120532,3,Nein
993120540,4,Ja
993120732,6,Nein
993120082,3,Ja
1001107853,7,Ja
