COUNTRY,ID
DDDE,39453
DDDE,39500
DDDE,39521
DDDE,39561
DDDE,39563
DDDE,39564
DDDE,39565
DDDE,39567
DDDE,39586
DDDE,39593
DDDE,39594
DDDE,39630
DDDE,39632
DDDE,39653
DDDE,39740
DDDE,39915
DDDE,39944
DDDE,39954
DDDE,39959
DDDE,40095
DDDE,40106
DDDE,40260
DDDE,40273
DDDE,40340
DDDE,40475
DDDE,40509
DDDE,40532
DDDE,40533
DDDE,40607
DDDE,40608
DDDE,40639
DDDE,40868
DDDE,40870
DDDE,40873
DDDE,40875
DDDE,40877
DDDE,40878
DDDE,40890
DDDE,40892
DDDE,40894
DDDE,41022
DDDE,41062
DDDE,41096
DDDE,41097
DDDE,41126
DDDE,41139
DDDE,41185
DDDE,41188
DDDE,45419
DDDE,46324
DDDE,46408
DDDE,46435
DDDE,46514
DDDE,46540
DDDE,46834
DDDE,47068
DDDE,47085
DDDE,47115
DDDE,47130
DDDE,47131
DDDE,47141
DDDE,47146
DDDE,47149
DDDE,47189
DDDE,47213
DDDE,47216
DDDE,47220
DDDE,49179
DDDE,49218
DDDE,49219
DDDE,49262
DDDE,49281
DDDE,49286
DDDE,49292
DDDE,49316
DDDE,49350
DDDE,49355
DDDE,49402
DDDE,49458
DE,14890
DE,46515
DE,74706
DE,83598
DE,30061582
DE,30077089
DE,30077286
DE,30077293
DE,30077341
DE,30077345
DE,30077350
DE,30077360
DE,30077510
DE,30078167
DE,30078191
DE,30079490
DE,30079531
DE,30079724
DE,30080289
DEUTSCHL,73812
DK,30080221
DR,4758
DR,23106
DR,24141
DR,26281
DR,29777
DR,29822
DR,34836
DR,39085
DR,39183
DR,39203
DR,39314
DR,39966
DR,39969
DR,40045
DR,40046
DR,40048
DR,40052
DR,40497
DR,40804
DR,40991
DR,40992
DR,40996
DR,40997
DX,1848
DX,2918
DX,14285
DX,16619
DX,24826
DX,26327
DX,26445
DX,27014
DX,29459
DX,30301
DX,31483
DX,31640
DX,31688
DX,31999
DX,32020
DX,32183
DX,32430
DX,32431
DX,32432
DX,32433
DX,32438
DX,32451
DX,32453
DX,32455
DX,32493
DX,32856
DX,33005
DX,33010
DX,33180
DX,33785
DX,33789
DX,33933
DX,34321
DX,34397
DX,34601
DX,34778
DX,34833
DX,35007
DX,35103
DX,35138
DX,35178
DX,35198
DX,35212
DX,35228
DX,35424
DX,35529
DX,35571
DX,35588
DX,35601
DX,35727
DX,35733
DX,35901
DX,36120
DX,36718
DX,36791
DX,37236
DX,37459
DX,37494
DX,37646
DX,37670
DX,37893
DX,37894
DX,37899
DX,37988
DX,37998
DX,38046
DX,38174
DX,38191
DX,38201
DX,38273
DX,38544
DX,38619
DX,38907
DX,38909
DX,38911
DX,38912
DX,38913
DX,38917
DX,38933
DX,39043
DX,39054
DX,39431
DX,39610
DX,39619
DX,40007
DX,40298
DX,40301
DX,40328
DX,40336
DX,40493
DX,41712
DX,41718
DX,41723
DX,41769
DX,41787
DX,41911
DX,41925
DX,41946
DX,42005
DX,42012
DX,42013
DX,42015
DX,42017
DX,42023
DX,42024
DX,42025
DX,42027
DX,42037
DX,42045
DX,44622
DX,44624
DX,44760
DX,44833
DX,44910
DX,44915
DX,44939
DX,45115
DX,45116
DX,45224
DX,45225
DX,45228
DX,45279
DX,45285
DX,45286
DX,45287
DX,45318
DX,45383
DX,45448
DX,45479
DX,45482
DX,45483
DX,45505
DX,45511
DX,45568
DX,45725
DX,45878
DX,45911
DX,45912
DX,45991
DX,45992
DX,45994
DX,46226
DX,46227
DX,46231
DX,47302
DX,51759
DX,51760
DX,51774
DX,51783
DX,51784
DX,51785
DX,51801
DX,51811
DX,51813
DX,51814
DX,51816
DX,51817
DX,51824
DX,51826
DX,51862
DX,53870
DX,53874
DX,54069
DX,54119
DX,54130
DX,54134
DX,54136
DX,54138
DX,54140
DX,54149
DX,54156
DX,54164
DX,54165
DX,54184
DX,54185
DX,54187
DX,54188
DX,54189
DX,54197
DX,54198
DX,54200
DX,54211
DX,54220
DX,54226
DX,54227
DX,54234
DX,54236
DX,54242
DX,54243
DX,54385
DX,54387
DX,54390
DX,54394
DX,54412
DX,54417
DX,54418
DX,54425
DX,54426
DX,54435
DX,54551
DX,54557
DX,54898
DX,54975
DX,54983
DX,54984
DX,54985
DX,54987
DX,54988
DX,54989
DX,54990
DX,54991
DX,54992
DX,54993
DX,54994
DX,54995
DX,54997
DX,55010
DX,55016
DX,55018
DX,55049
DX,55051
DX,55164
DX,55319
DX,55321
DX,55322
DX,57528
DX,57529
DX,57538
DX,57560
DX,57562
DX,57657
DX,57662
DX,57676
DX,57703
DX,57709
DX,57734
DX,57780
DX,57894
DX,57910
DX,57938
DX,57955
DX,57956
DX,57972
DX,57974
DX,57992
DX,58033
DX,58057
DX,58058
DX,58062
DX,58181
DX,58212
DX,58248
DX,58284
DX,58287
DX,58297
DX,58301
DX,58364
DX,58365
DX,58367
DX,58375
DX,58389
DX,58396
DX,58440
DX,58443
DX,58444
DX,61663
DX,61668
DX,61675
DX,61696
DX,61728
DX,61730
DX,61731
DX,61734
DX,62531
DX,62532
DX,64646
DX,64649
DX,64670
DX,64773
DX,64798
DX,64810
DX,64821
DX,64875
DX,64881
DX,64896
DX,64929
DX,64937
DX,64939
DX,64970
DX,64979
DX,64982
DX,64984
DX,65001
DX,65016
DX,65027
DX,65028
DX,65030
DX,65031
DX,65033
DX,65055
DX,65056
DX,65150
DX,65321
DX,65322
DX,65323
DX,65345
DX,65410
DX,65910
DX,65911
DX,65925
DX,66039
DX,66084
DX,66125
DX,66131
DX,66228
DX,69098
DX,69130
DX,69152
DX,69158
DX,69159
DX,69164
DX,69240
DX,69241
DX,69281
DX,69283
DX,69288
DX,69292
DX,69317
DX,69768
DX,69776
DX,69791
DX,69810
DX,69814
DX,69945
DX,69964
DX,69986
DX,69993
DX,69996
DX,70085
DX,70203
DX,70479
DX,70509
DX,70560
DX,70561
DX,70562
DX,70658
DX,70659
DX,70664
DX,70665
DX,70666
DX,70667
DX,70674
DX,70677
DX,70678
DX,70731
DX,71394
DX,71430
DX,71431
DX,71432
DX,71449
DX,71459
DX,71460
DX,71461
DX,71468
DX,71472
DX,71475
DX,71478
DX,71482
DX,71500
DX,71506
DX,71508
DX,71509
DX,71510
DX,71514
DX,71516
DX,71523
DX,71524
DX,71544
DX,71556
DX,71624
DX,71703
DX,71768
DX,71770
DX,71778
DX,71886
DX,71956
DX,73782
DX,73793
DX,73795
DX,73918
DX,73962
DX,74014
DX,74018
DX,74019
DX,74020
DX,74032
DX,74303
DX,74821
DX,75234
DX,30060908
DX,30069811
DX,30070156
DX,30075966
DX,30077784
DX,30078803
DX,30078820
ES,30076558
ES,30077336
ES,30078123
ES,30078124
ES,30079047
ES,30079048
ES,30079049
ES,30079050
ES,30079051
ES,30079052
ES,30079056
ES,30079057
ES,30079058
ES,30079059
ES,30079060
ES,30079061
ES,30079062
ES,30079063
ES,30079064
ES,30079065
ES,30079066
ES,30079067
ES,30079068
ES,30079069
ES,30079070
ES,30079071
ES,30079221
ES,30079294
ES,30079486
ES,30079487
ES,30079488
ES,30079510
ES,30079549
ES,30079550
ES,30079551
ES,30079552
ES,30079553
ES,30079554
ES,30079555
ES,30079556
ES,30079557
ES,30079558
ES,30079559
ES,30079560
ES,30079561
ES,30079562
ES,30079563
ES,30079564
ES,30079574
ES,30079575
ES,30079576
ES,30079577
ES,30079578
ES,30079579
ES,30079580
ES,30079581
ES,30079582
ES,30079583
ES,30079584
ES,30079585
ES,30079586
ES,30079587
ES,30079588
ES,30079589
ES,30079593
ES,30079594
ES,30079595
ES,30079596
ES,30079597
ES,30079598
ES,30079599
