ID,031_q,031_m
100500042,t,S 1
100500042,t,S 1
100500042,t,vl 1
100500043,t,S 1
100500047,t,S 1
100500047,t,vl 1
100500048,t,S 1
100500049,t,S
100500049,t,A
100500050,t,vl 1
100500051,t,S 1
100500051,t,S 1
100500052,t,S 1
100500052,t,S 1
100500053,t,S 1
100500058,t,S 1
100500061,t,S
100500061,t,S
100500062,t,S
100500062,t,S
100500063,t,S 1
100500063,t,T
100500063,t,S 1
100500063,t,S 2
100500064,t,S
100500064,t,S
100500064,t,S
100500065,t,S
100500066,t,S
100500067,t,S
100500067,t,bajoncillo 1
100500067,t,A
100500067,t,S
100500067,t,bc
100500067,t,bc
100500067,t,bc
100500067,t,bc
100500067,t,bc
100500067,t,bc
100500067,t,bc
100500068,t,S
100500068,t,S
100500068,t,T
100500069,t,S
100500069,t,S
100500073,t,A 2 coro
100500074,t,S
100500074,t,T
100500074,t,S
100500074,t,T
100500075,t,S 1
100500075,t,T
100500075,t,S 1
100500076,t,S 1
100500076,t,S 1
100500077,t,S
100500078,t,S 1
100500078,t,S 1
100500078,t,S 1
100500079,t,S 1
100500079,t,S 1
100500080,t,S 1
100500080,t,S 1
100500081,t,S
100500081,t,S
100500082,t,A 3 coro
100500082,t,A 3 coro
100500083,t,S 1
100500083,t,T
100500084,t,S 1
100500084,t,S 1
100500084,t,T
100500085,t,S
100500085,t,S
100500086,t,S
100500088,t,T
100500089,t,T
100500089,t,S 2 coro
100500090,t,S 1
100500091,t,S 1
100500091,t,S 1
100500092,t,S
100500092,t,T
100500092,t,S 2 coro
100500093,t,A solo
100500094,t,S 1
100500094,t,T
100500095,t,S 2 coro
100500096,t,B
100500096,t,S
100500096,t,T coro 2
100500096,t,S
100500097,t,B 2 coro
100500097,t,S
100500097,t,T coro 2
100500097,t,S
100500099,t,S 1
100500099,t,S 1
100500100,t,S 1
100500100,t,S 1
100500102,t,S 1
100500102,t,S 1
100500102,t,S 1
100500103,t,S 1
100500103,t,S 1
100500104,t,S 1
100500104,t,S 1
100500104,t,S 1
100500105,t,S 1
100500105,t,S 1
100500106,t,S 1
100500108,t,S 1
100500108,t,S 1
100500108,t,S 1
100500108,t,S 1
100500110,t,A
100500110,t,S coro 1 and 2
100500110,t,S
100500110,t,S coro 1 and 2
100500111,t,S 1
100500111,t,S 1
100500111,t,S 1
100500111,t,T 2 coro
100500112,t,S 1
100500112,t,S 1
100500113,t,S 1
100500113,t,S 1
100500114,t,S 1
100500114,t,arp
100500116,t,S 1
100500116,t,S 1
100500117,t,S 1
100500118,t,S 1
100500118,t,S 1
100500119,t,S 3 coro
100500120,t,S 1
100500120,t,T 2 coro
100500121,t,S 1
100500121,t,S 2
100500121,t,A 1
100500122,t,S 1
100500122,t,S 2
100500123,t,S 1
100500123,t,S 3 coro
100500123,t,S 1
100500123,t,S 3 coro
100500123,t,S 1
100500123,t,S 1
100500123,t,S 2
100500123,t,S 1
100500123,t,T 3 coro
100500124,t,S
100500124,t,T
100500124,t,T
100500124,t,S
100500124,t,T
100500124,t,T
100500124,t,S
100500124,t,S
100500124,t,T
100500124,t,T
100500124,t,S
100500124,t,S
100500124,t,S 2 coro
100500124,t,S
100500124,t,S
100500124,t,A
100500124,t,T
100500124,t,S
100500124,t,T
100500124,t,S
100500124,t,T
100500124,t,T
100500124,t,S
100500124,t,T
100500125,t,S 1
100500125,t,A
100500126,t,S
100500126,t,B 2 coro
100500126,t,S
100500126,t,B 2 coro
100500126,t,B 2 coro
100500126,t,org
100500126,t,S
100500126,t,arp
100500126,t,S
100500126,t,B 2 coro
100500127,t,S 1
100500127,t,S 1
100500128,t,S
100500128,t,S 2 coro 2
100500128,t,S
100500129,t,S 1
100500129,t,S 2
100500129,t,S 1
100500129,t,S 2
100500130,t,B coro 2
100500131,t,S 1
100500131,t,S 1
100500133,t,S
100500133,t,S
100500134,t,S 1
100500134,t,S 1
100500134,t,S 1
100500134,t,S coro 2
100500135,t,S
100500136,t,S 1
100500136,t,S coro 2
100500136,t,S 1
100500137,t,S 1
100500137,t,S 1
100500138,t,S 1
100500139,t,S 1
100500139,t,S 1
100500140,t,S 1
100500140,t,S 2 coro
100500141,t,S
100500142,t,S 1
100500142,t,S 1
100500143,t,S 1
100500143,t,S 1
100500144,t,S 1
100500144,t,S 1
100500145,t,S 1
100500145,t,S 1
100500146,t,S 1
100500146,t,S 1
100500147,t,T
100500147,t,S
100500147,t,T
100500147,t,T
100500147,t,T
100500148,t,S
100500149,t,S
100500149,t,S coro 2
100500150,t,S 1
100500151,t,S 1
100500152,t,S 1
100500153,t,S
100500154,t,A coro 2
100500154,t,A coro 2
100500154,t,A coro 2
100500154,t,A coro 2
100500154,t,A coro 2
100500156,t,S
100500157,t,S
100500157,t,S
100500159,t,S 1
100500159,t,S 1
100500159,t,A
100500159,t,S 1
100500160,t,S 1
100500160,t,S 1
100500161,t,S 1
100500161,t,S 1
100500162,t,S 1
100500162,t,S 1
100500163,t,A 1
100500163,t,S 1
100500163,t,A 1
100500163,t,S 1
100500164,t,S 1
100500164,t,S 1
100500164,t,S 1
100500165,t,S 1
100500165,t,T
100500165,t,S 1
100500165,t,T
100500166,t,S
100500166,t,S coro 2
100500166,t,S
100500167,t,S
100500167,t,S
100500167,t,S
100500168,t,S
100500168,t,S
100500168,t,S
100500168,t,S
100500169,t,A
100500169,t,S solo
100500169,t,S solo
100500169,t,S
100500169,t,S
100500169,t,S
100500170,t,S
100500170,t,S
100500170,t,S
100500170,t,A
100500170,t,S
100500170,t,S
100500170,t,S 1 coro 2
100500171,t,S 1
100500172,t,S
100500172,t,S
100500172,t,S
100500172,t,S
100500173,t,S 1
100500174,t,S
100500174,t,S
100500175,t,S 1
100500175,t,A 1
100500176,t,S
100500176,t,S
100500176,t,S
100500176,t,S
100500177,t,S 1
100500177,t,S 1
100500177,t,S 2
100500178,t,S 1
100500178,t,A coro 2
100500178,t,S 1
100500178,t,A coro 2
100500179,t,S 1
100500180,t,S 1
100500181,t,S 1
100500181,t,S 1
100500181,t,S 2
100500182,t,S 1
100500182,t,S 2
100500182,t,T
100500182,t,T
100500183,t,S 1
100500183,t,S 1
100500183,t,A
100500184,t,S
100500184,t,bc
100500184,t,bc
100500184,t,bc
100500185,t,T
100500185,t,T
100500187,t,S 1
100500188,t,S 1
100500188,t,T
100500188,t,arp
100500188,t,arp
100500189,t,S 1
100500189,t,arp
100500189,t,arp
100500189,t,arp
100500189,t,arp
100500190,t,S 1
100500190,t,S 2
100500190,t,S 1
100500191,t,S 1
100500191,t,S 2
100500192,t,bajoncillo
100500192,t,T
100500193,t,S
100500194,t,S 1
100500195,t,S
100500196,t,S
100500198,t,S 1
100500198,t,S 1
100500198,t,S 1
100500198,t,A coro 2
100500198,t,S 1
100500199,t,S
100500199,t,S
100500200,t,S
100500200,t,vl 1 coro 2
100500200,t,S
100500200,t,vl 1 coro 2
100500201,t,S coro 2
100500201,t,vl 1
100500203,t,A
100500203,t,vl
100500204,t,S 1
100500204,t,S 1
100500205,t,S
100500205,t,vl 1
100500205,t,S
100500205,t,vl 1
100500206,t,S
100500206,t,vl 1
100500206,t,S
100500206,t,vl 1
100500207,t,S 1
100500207,t,vl 1
100500207,t,S 1
100500207,t,vl 1
100500208,t,vl 1
100500208,t,S 1
100500208,t,vl 1
100500208,t,A
100500208,t,vl 1
100500208,t,vl 1
100500208,t,vl 1
100500209,t,S
100500209,t,S
100500211,t,S 1
100500211,t,bc
100500212,t,S
100500212,t,vlne
100500212,t,S
100500212,t,vlne
100500213,t,S 1
100500213,t,vl 1
100500213,t,S 1
100500213,t,vl 1
100500214,t,S 1
100500214,t,vl 1
100500214,t,S 1
100500214,t,vl 1
100500215,t,S 1
100500215,t,S 1
100500216,t,A 1
100500216,t,vl 1
100500217,t,S 1
100500217,t,vl 1
100500217,t,vl 1
100500218,t,S
100500218,t,vl
100500219,t,T
100500219,t,vl 1
100500219,t,T
100500219,t,vl 1
100500219,t,T
100500220,t,A 1
100500220,t,vl 1
100500222,t,S 1
100500222,t,S 1
100500223,t,S 1
100500223,t,vl 1
100500224,t,S
100500224,t,S
100500226,t,S 1
100500226,t,vl 1
100500228,t,S 1
100500229,t,S 1
100500230,t,S 1
100500258,t,S 1
100500259,t,S 1
100500260,t,S 1
100500261,t,S 1
100500262,t,T
100500344,t,S
100500508,t,A 1
100500510,t,S
100500512,t,S solo
100500516,t,S
100500517,t,S 1
100500517,t,vl 1
100500517,t,bc
100500517,t,S 1
100500517,t,S 1
100500519,t,S 1
100500519,t,S 1
100500530,t,S 1
100500530,t,bc
100500530,t,S 1
100500530,t,bc
100500531,t,T
100500531,t,bc
100500532,t,S 1
100500532,t,bc
100500533,t,S 1
100500536,t,S
100500537,t,S 1
100500537,t,vl 1
100500537,t,bc 2
100500537,t,S 1
100500537,t,vl 1
100500537,t,bc 2
