RISMID,596$a
100624,RISM A/I
100624,RISM A/I
100624,RISM A/I
100624,RISM A/I
100624,RISM A/I
100624,RISM A/I
100624,RISM A/I
100625,RISM A/I
100625,RISM A/I
100625,RISM A/I
100625,RISM A/I
100625,RISM A/I
100625,RISM A/I
100625,RISM A/I
100625,RISM A/I
100626,RISM A/I
100627,RISM A/I
100628,RISM A/I
100629,RISM A/I
100629,RISM A/I
100629,RISM A/I
100629,RISM A/I
100629,RISM A/I
100629,RISM A/I
100629,RISM A/I
100629,RISM A/I
100630,RISM A/I
100630,RISM A/I
100630,RISM A/I
100630,RISM A/I
100630,RISM A/I
100630,RISM A/I
100630,RISM A/I
100630,RISM A/I
100631,RISM A/I
100631,RISM A/I
100631,RISM A/I
100631,RISM A/I
100631,RISM A/I
100631,RISM A/I
100631,RISM A/I
100631,RISM A/I
100632,RISM A/I
100632,RISM A/I
100632,RISM A/I
100632,RISM A/I
100632,RISM A/I
100632,RISM A/I
100632,RISM A/I
100632,RISM A/I
100633,RISM A/I
100633,RISM A/I
100633,RISM A/I
100633,RISM A/I
100633,RISM A/I
100633,RISM A/I
100633,RISM A/I
100633,RISM A/I
100634,RISM A/I
100635,RISM A/I
100635,RISM A/I
100635,RISM A/I
100636,RISM A/I
100636,RISM A/I
100636,RISM A/I
100637,RISM A/I
100637,RISM A/I
100637,RISM A/I
100638,RISM A/I
100639,RISM A/I
100639,RISM A/I
100639,RISM A/I
100639,RISM A/I
100639,RISM A/I
100639,RISM A/I
100639,RISM A/I
100642,RISM A/I
100645,RISM A/I
100650,RISM A/I
100651,RISM A/I
100652,RISM A/I
100653,RISM A/I
100654,RISM A/I
100655,RISM A/I
100656,RISM A/I
100656,RISM A/I
100656,RISM A/I
100656,RISM A/I
100657,RISM A/I
100657,RISM A/I
100657,RISM A/I
100657,RISM A/I
100658,RISM A/I
100658,RISM A/I
100658,RISM A/I
100658,RISM A/I
100661,RISM A/I
100661,RISM A/I
100662,RISM A/I
100662,RISM A/I
100662,RISM A/I
100663,RISM A/I
100663,RISM A/I
100663,RISM A/I
100664,RISM A/I
100664,RISM A/I
100664,RISM A/I
100665,RISM A/I
100665,RISM A/I
100665,RISM A/I
100666,RISM A/I
100666,RISM A/I
100666,RISM A/I
100666,RISM A/I
100666,RISM A/I
100666,RISM A/I
100666,RISM A/I
100666,RISM A/I
100667,RISM A/I
100667,RISM A/I
100667,RISM A/I
100667,RISM A/I
100667,RISM A/I
100667,RISM A/I
100667,RISM A/I
100667,RISM A/I
100668,RISM A/I
100669,RISM A/I
100670,RISM A/I
100671,RISM A/I
100671,RISM A/I
100671,RISM A/I
100671,RISM A/I
100671,RISM A/I
100671,RISM A/I
100671,RISM A/I
100671,RISM A/I
100674,RISM A/I
100677,RISM A/I
100677,RISM A/I
100677,RISM A/I
100677,RISM A/I
100677,RISM A/I
100677,RISM A/I
100677,RISM A/I
100677,RISM A/I
100678,RISM A/I
100678,RISM A/I
100678,RISM A/I
100684,RISM A/I
100684,RISM A/I
100685,RISM A/I
100685,RISM A/I
100686,RISM A/I
100686,RISM A/I
100687,RISM A/I
100687,RISM A/I
100688,RISM A/I
100696,RISM A/I
100696,RISM A/I
100696,RISM A/I
100696,RISM A/I
100696,RISM A/I
100696,RISM A/I
100696,RISM A/I
100696,RISM A/I
100696,RISM A/I
100696,RISM A/I
100814,RISM A/I
100814,RISM A/I
100815,RISM A/I
100815,RISM A/I
100816,RISM A/I
100816,RISM A/I
100817,RISM A/I
100817,RISM A/I
100818,RISM A/I
100818,RISM A/I
100819,RISM A/I
100819,RISM A/I
100820,RISM A/I
100820,RISM A/I
100821,RISM A/I
100821,RISM A/I
100822,RISM A/I
100822,RISM A/I
100823,RISM A/I
100823,RISM A/I
100824,RISM A/I
100824,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100826,RISM A/I
100849,RISM A/I
100849,RISM A/I
100857,RISM A/I
100857,RISM A/I
100857,RISM A/I
100857,RISM A/I
100859,RISM A/I
100859,RISM A/I
100860,RISM A/I
100860,RISM A/I
100860,RISM A/I
100860,RISM A/I
100860,RISM A/I
100860,RISM A/I
100860,RISM A/I
100861,RISM A/I
100861,RISM A/I
100861,RISM A/I
100861,RISM A/I
100861,RISM A/I
100861,RISM A/I
100861,RISM A/I
100862,RISM B
100863,RISM B
100864,RISM B
100865,RISM A/I
100865,RISM A/I
100866,RISM A/I
100866,RISM A/I
100867,RISM A/I
100868,RISM B
100868,RISM B
100868,RISM B
100868,RISM B
100868,RISM B
100869,RISM A/I
100869,RISM A/I
100869,RISM A/I
100869,RISM A/I
100869,RISM A/I
100869,RISM A/I
100869,RISM A/I
100871,RISM B
100872,RISM A/I
100872,RISM A/I
100873,RISM B
100874,RISM B
100876,RISM B
100877,RISM B
100877,RISM B
100878,RISM A/I
100878,RISM A/I
100878,RISM A/I
100878,RISM A/I
100878,RISM A/I
100878,RISM A/I
100878,RISM A/I
100881,RISM B
100882,RISM B
100883,RISM B
100884,RISM B
100885,RISM A/I
100886,RISM A/I
100887,RISM B
100888,RISM B
100892,RISM B
100893,RISM B
100894,RISM B
100895,RISM B
100896,RISM B
100897,RISM B
100898,RISM B
100899,RISM B
100900,RISM B
100901,RISM B
100902,RISM B
100903,RISM B
100933,RISM A/I
100933,RISM A/I
100969,RISM A/I
101047,RISM A/I
101047,RISM A/I
101047,RISM A/I
101047,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101123,RISM A/I
101209,RISM A/I
101221,RISM A/I
101221,RISM A/I
101221,RISM A/I
101221,RISM A/I
101221,RISM A/I
101221,RISM A/I
101221,RISM A/I
101221,RISM A/I
101221,RISM A/I
101221,RISM A/I
101221,RISM A/I
101221,RISM A/I
101221,RISM A/I
101221,RISM A/I
101223,RISM A/I
101232,RISM A/I
101232,RISM A/I
101342,RISM A/I
101343,RISM A/I
101361,RISM A/I
101362,RISM A/I
101363,RISM A/I
101364,RISM A/I
101365,RISM A/I
101366,RISM A/I
101367,RISM A/I
101368,RISM A/I
101369,RISM A/I
101371,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
101372,RISM A/I
