00000990004595	[ca.1775]	Year of publication from British Library catalogue.
00000990004690	[between 1770 and 1780?]	Year of publication from British Library catalogue.
00000990004803	[1757]	Year of publication from British Library catalogue.
00000990003180	[1766]	Year of publication from British Library catalogue.
00000990005024	[1805?]	Year of publication from British Library catalogue.
00000990003216	[1763]	Year of publication from British Library catalogue.
00000990003224	[ca. 1765]	Year of publication from British Library catalogue.
00000990005755	[between 1791 and 1795]	Year of publication from British Library catalogue.
00000990003270	[1772]	Year of publication from British Library catalogue.
00000990005868	[1772]	Year of publication from British Library catalogue.
00000990005880	[1782-1783]	Year of publication from British Library catalogue.
00000990005921	[1784]	Year of publication from British Library catalogue.
00000990005949	[1770]	Year of publication from British Library catalogue.
00000990005957	[1782-1783]	Year of publication from British Library catalogue.
00000990005959	[1770]	Year of publication from British Library catalogue.
00000990006278	[1710]	Year of publication from British Library catalogue.
00000990006752	[ca. 1790]	Year of publication from British Library catalogue.
00000990006753	[1817?]	Year of publication from British Library catalogue.
00000990006769	[1786?]	Year of publication from British Library catalogue.
00000992007266	[ca. 1790]	Year of publication from British Library catalogue.
00000990006986	[1783]	Year of publication from British Library catalogue.
00000990006988	[ca. 1800]	Year of publication from British Library catalogue.
00000990007002	[between 1789 and 1798?]	Year of publication from British Library catalogue.
00000990007008	[1785?]	Year of publication from British Library catalogue.
00000990007415	[ca.1810]	Year of publication from British Library catalogue.
00000990007416	[1787]	Year of publication from British Library catalogue.
00000990007728	[between 1789 and 1811?]	Year of publication from British Library catalogue.
00000992005194	[ca. 1755]	Year of publication from British Library catalogue.
00000990003887	[ca. 1710]	Year of publication from British Library catalogue.
00000990003888	[ca. 1710]	Year of publication from British Library catalogue.
00000991013334	[ca. 1775]	Year of publication from British Library catalogue.
00000991013925	[1769?]	Year of publication from British Library catalogue.
00000991014101	[1798?]	Year of publication from British Library catalogue.
00000991014157	[1801]	Year of publication from British Library catalogue.
00000991014391	[1800?]	Year of publication from British Library catalogue.
00000991014462	[1722?]	Year of publication from British Library catalogue.
00000990008835	[approximately 1740]	Year of publication from British Library catalogue.
00000990009443	[ca. 1750]	Year of publication from British Library catalogue.
00000990009944	[ca. 1765]	Year of publication from British Library catalogue.
00000990010238	[between 1785 and 1793?]	Year of publication from British Library catalogue.
00000990010460	[1798]	Year of publication from British Library catalogue.
00000990010483	[1802]	Year of publication from British Library catalogue.
00000990010919	[1709]	Year of publication from British Library catalogue.
00000990010958	[ca. 1790]	Year of publication from British Library catalogue.
00000990011003	[1783]	Year of publication from British Library catalogue.
00000990011349	[approximately 1729]	Year of publication from British Library catalogue.
00000990011496	[1791]	Year of publication from British Library catalogue.
00000990008218	[1782]	Year of publication from British Library catalogue.
00000990008219	[1782]	Year of publication from British Library catalogue.
00000990011941	[ca. 1800]	Year of publication from British Library catalogue.
00000991015203	[1800?]	Year of publication from British Library catalogue.
00000991015858	[1800]	Year of publication from British Library catalogue.
00000991015873	[1800]	Year of publication from British Library catalogue.
00000991015984	[1806?]	Year of publication from British Library catalogue.
00000991016174	[ca. 1815]	Year of publication from British Library catalogue.
00000991016259	[1707?]	Year of publication from British Library catalogue.
00000991015249	[between 1795 and 1807]	Year of publication from British Library catalogue.
00000990013010	[ca. 1780]	Year of publication from British Library catalogue.
