RISM ID,240$a,240$o,240$k,650$a,690$a,690$n,240$m,383$b,599$a
850625615,18 Psalms,,,Psalms,,,V (8),,"Einzeleintrage nicht vorhanden  (GK, ICCU-Import 2021-07)"
850600342,18 Psalms,,,,,,Coro (2),,"In allen Einzeleinträge muss der Komponist in Colonna geändert werden - ist jetzt Anonymus.  (GK, ICCU-Import 2021-07)"
850600451,18 Sacred songs,,,Sacred songs,,,V (8),,
850602390,18 Sacred songs,,,Sacred songs,,,"Coro (2), vl (2), bc",,
850602089,18 Sacred songs,,,,,,"V (4), bc",,"In allen Einzeleinträge muss der Komponist in Clari geändert werden - ist jetzt Anonymus. 730: Vespers (GK, ICCU-Import 2021-07)"
850600650,18 Sacred songs,,,,,,"V (4), bc",,
850817404,18 Vocal pieces,,,Arias (voc.);Duets (voc.),,,"V (X), orch",,
850817523,19 Arias,,,Arias (voc.),,,"V, orch",,
850600482,19 Psalms,,,Psalms,,,"V (1), Coro, bc",,
850602246,19 Sacred songs,,,Psalms;Vespers,,,"Coro (2), bc",,
850765573,19 Sacred songs,,,,,,"V (2), bc",,
850619759,19 Sacred songs,,,,,,V (X),,
850781106,19 Vocal pieces,,,Vocal pieces,,,,,
850777869,19 Vocal pieces,,,Vocal pieces,,,,,
850791435,2 Arias,,,Arias (voc.),,,,,
850792008,2 Ariettes,,,Ariettes,,,,,
850611734,2 Canzonettas,,,Canzonettas,,,,,
850765895,2 Chansons,,,Chansons,,,,,
850623966,2 Confitebor,,,Psalms,,,,,
850692276,2 Dances,,,Polkas;Quadrilles,,,,,
850692535,2 Dances,,,Mazurkas;Polkas,,,,,
850692184,2 Dances,,,Dances,,,strings,,
850692856,2 Divertimentos,,,Divertimentos,,,,,
850796725,2 Divertimentos,,,Divertimentos,,,orch,,"keine Einzeleinträge (GK, ICCU-Import 2021-07)"
850600871,2 Dixit Dominus,,Excerpts,Psalms,,,,,
850734288,2 Duets,Arr,,Duets (voc.),,,"S (2), guit",,
850606588,2 Duets,,,Duets (voc.),,,,,
850603554,2 Duets,,,Duets (inst.),,,,,
850783221,2 Duets,,,Duets (inst.),,,,,
850687840,2 Duets,,,Duets (voc.),,,"S (2), bc",,
850782239,2 Duets,,,Duets (inst.),,,fag,,
850607239,2 Duets,,,Duets (inst.),,,,,
850783097,2 Duets,,,Duets (inst.),,,,,
850605128,2 Fantasies,,,Fantasies,,,,,
850605131,2 Fantasies,,,Fantasies,,,,,
850733637,2 Finales,,,Finales,,,,,
850618530,2 Fugues,,,Fugues (voc.),,,,,
850676664,2 Instrumental pieces,,,Instrumental pieces,,,,,
850669878,2 Instrumental pieces,,,Instrumental pieces,,,,,
850611248,2 Instrumental pieces,,,Instrumental pieces,,,,,
850766391,2 Instrumental pieces,,,Instrumental pieces,,,,,
850671530,2 Instrumental pieces,,,Sonatas;Dances,,,,,
850611695,2 Instrumental pieces,,,Instrumental pieces,,,,,
850624277,2 Intermezzos,,,Intermezzos (stage),,,,,
850811695,2 Keyboard pieces,,,Marches;Berceuses,,,,,
850795024,2 Keyboard pieces,,,Keyboard pieces,,,pf,op. 5,
850668661,2 Litanies,,,Litanies,,,,,
850656456,2 Marce funebri,,,Marches;Funeral music,,,,,
850667610,2 Marce militari,,,Marches,,,,,
850604460,2 Marches,,,Marches,,,,,
850688328,2 Marches,,,Marches,,,,,
850657538,2 Marches,,,Marches,,,,,
850603056,2 Marches,,,Marches,,,,,
850606129,2 Marches,,,Marches,,,,,
850782702,2 Marches,,,Marches,,,,,
850676166,2 Marian songs,,,Sacred songs,,,,,
850796215,2 Masses,,,Masses,,,,,
850796217,2 Masses,,,Masses,,,,,
850601770,2 Minuets,,,Minuets,,,,,
850606283,2 Minuets,,,Minuets,,,,,
850782288,2 Motets,,,Motets;Sacred songs,,,,,
850810888,2 Operas,Arr,Excerpts,Operas,,,,,
850676818,2 Operas,Arr,Excerpts,Operas;Scenes;Duets (voc.),,,,,
850783028,2 Operas,Arr,Excerpts,Operas;Duets (voc.),,,banda,,
850606800,2 Operas,Arr,Excerpts,Operas,,,pf,,
850770326,2 Operas,,Excerpts,Operas,,,,,
850687503,2 Operas,,Excerpts,Operas;Arias (voc.),,,,,
850606814,2 Operas,,Excerpts,Operas;Overtures,,,orch,,
850780427,2 Operas,,Excerpts,Operas,,,,,
850727767,2 Operas,,Excerpts,Operas,,,,,"Müsste ein Coll sein. Hat 2 Untereinträge (GK, ICCU-Import 2021-07)"
850694713,2 Operas,,,Operas,,,,,
850780391,2 Overtures,Arr,,Operas;Overtures,,,pf,,
850675508,2 Pieces,,,Pieces,,,,,
850806504,2 Pieces,,,Pieces,,,,,
850716450,2 Polkas,,,Polkas,,,,,
850816146,2 Preludes,,,Preludes,,,orch,op. 42,
850798704,2 Preludes,,,Preludes,,,pf,,
850809709,2 Psalms,,,Psalms,,,,,
850809964,2 Psalms,,,Psalms,,,,,
850656469,2 Psalms,,,,,,"Coro, org",,
850657839,2 Psalms,,,,,,,,
850667777,2 Psalms,,,,,,,,
850667791,2 Psalms,,,,,,,,
850641086,2 Psalms,,,Psalms,,,,,
850643184,2 Psalms,,,Psalms,,,,,
850602867,2 Psalms,,,,,,"V (4), b",,
850600817,2 Psalms,,,,,,Coro (2),,
850796881,2 Psalms,,,Psalms,,,"V (4), orch",,"coll: Einzeltitel anlegen (GK, ICCU-Import 2021-07)"
850796882,2 Psalms,,,Psalms,,,"V (4), orch",,"coll: Einzeltitel anlegen (GK, ICCU-Import 2021-07)"
850797108,2 Psalms,,,Psalms,,,,,
850781947,2 Quartets,,,Quartets (inst.),,,,,
850780528,2 Quartets,,,Quartets (inst.),,,,,
850777660,2 Quartets,,,Quartets (inst.),,,,,
850601721,2 Quartets,,,Quartets (inst.),,,,,
850765083,2 Quintets,,,Quintets (inst.),,,,,
850782194,2 Quintets,,,Quintets (inst.),,,,,
850783133,2 Quintets,,,Quintets (inst.),,,,,
850602425,2 Quintets,,,Quintets (inst.),,,,,
850670512,2 Quintets,,,Quintets (inst.),,,,,
850813415,2 Ricercares,,,Ricercares (inst.),,,,,
850788021,2 Sacred songs,,,Graduals;Offertories,,,,,
850809648,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850809649,2 Sacred songs,,,Introits;Graduals,,,,,
850809691,2 Sacred songs,,,Graduals;Psalms,,,,,
850809752,2 Sacred songs,,,Introits;Sacred songs,,,,,
850809756,2 Sacred songs,,,Introits;Tracts,,,,,
850809759,2 Sacred songs,,,Introits;Tracts,,,,,
850809760,2 Sacred songs,,,Introits;Graduals,,,,,
850809761,2 Sacred songs,,,Introits;Graduals,,,,,
850809852,2 Sacred songs,,,Introits;Tracts,,,,,
850809858,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850809859,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850809929,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850809932,2 Sacred songs,,,Introits;Graduals,,,,,
850809936,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850809940,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850809941,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850809942,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850809975,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850809979,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850809981,2 Sacred songs,,,Introits;Sacred songs,,,,,
850810012,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810047,2 Sacred songs,,,Introits;Tracts,,,,,
850810049,2 Sacred songs,,,Introits;Graduals,,,,,
850810052,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810053,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810133,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810205,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810208,2 Sacred songs,,,Introits;Tracts,,,,,
850810210,2 Sacred songs,,,Introits;Tracts,,,,,
850810212,2 Sacred songs,,,Introits;Tracts,,,,,
850810213,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810214,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810215,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810218,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810222,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810261,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810397,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810416,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810417,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810471,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850810512,2 Sacred songs,,,Introits;Versus alleluiatici,,,,,
850766174,2 Sacred songs,,,Sacred songs,,,,,
