1	852$a	852$c	500$a1	500$a2	856$u	856$x	856$z
990035279	GB-Lbl	i.287.h.	Imperfect: Violino primo part wanting all but the last page.	Title information: Concerto pour la clarinette avec accompagnement d'orchestra. Offenbach s/m: chés J. André, [1803]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016420224	Other	Description in British Library catalogue.
990036426	GB-Lbl	E.1920.c.(1.)	Without the accompaniment for violin.	Title information: Twelve sonatas. London (No. 17, St. Martins Lane): Printed for the author, and to be had of T. Skillern, [1794?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01017683657	Other	Description in British Library catalogue.
990039800	GB-Lbl	h.4261.uu.(2.)	Copy at h.4261.uu.(2.). Imperfect : lacking the violin part.	Title information: Martini's favourite overture to Henry the Fourth. Dublin (at the corner of Eustace Street in Dame Street no. 70): published by John Lee, [between 1778 and 1803?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01018981966	Other	Description in British Library catalogue.
990040107	GB-Lbl	i.158.r.(6.)	Copy at i.158.r.(6.). Imperfect: wanting all but the violino principale part.	Title information: Concert pour le violon accompagné de plusieurs instrumens. A Bronsvic: du Magasin de Musique à la Höhe, [between 1791 and 1800?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016502291	Other	Description in British Library catalogue.
990040321	GB-Lbl	Tyson P.M.81.(4.)	Copy at Tyson P.M.81.(4.). Imperfect: the piano part only.	Title information: Three sonatas for the piano forte. Dublin: Cooke's Music Warehouse, [approximately 1797].	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013196923	Other	Description in British Library catalogue.
990041093	GB-Lbl	h.3212.nn.(17.)	Copy at h.3212.nn.(17.). Imperfect: the violino part only.	Title information: Sonate pour un violon et basse. Vienne: chez Iean Traeg, [1799]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01018720853	Other	Description in British Library catalogue.
990046824	GB-Lbl	h.140.ff.(1.)	Copy at h.140.ff.(1.). Imperfect: score only, lacks the violin part.	Title information: Six sonates pour le clavecin ou pianoforte avec l'accompagnement d'un violon, oeuvre II. Amsterdam: chez J. Schmitt, [ca. 1790]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013598428	Other	Description in British Library catalogue.
990051827	GB-Lbl	e.565.i.(2.)	Imperfect: wanting violin part.	Title information: Sonate arrangé pour le clavecin ou piano forte avec accompagnement d'un violon. A Vienne: chez Artaria compagnie, [1790]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016739368	Other	Description in British Library catalogue.
990052135	GB-Lbl	H.3400.cc.(1.)	Copy at H.3400.cc.(1.). Imperfect: Score only.	Title information: Six sonates pour harpe avec accompagnement d'un violon, œuvre 3.e pour harp. A Paris: chez l'Auteur, [between 1796 and 1797]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01015965866	Other	Description in British Library catalogue.
990054882	GB-Lbl	e.368.cc.(2.)	Copy at e.368.cc.(2.). Imperfect: harpsichord part only.	Title information: Trois simphonies pour le clavecin ou le forte-piano avec accompagnement de deux violons, deux cors et violoncelle (ad libitum), oeuvre XVI. A Paris: chez Rigel le jeune: gravées par M.lle Landie, [1783]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01018759359	Other	Description in British Library catalogue.
990054883	GB-Lbl	e.368.cc.(3.)	Copy at e.368.cc.(3.). Imperfect: harpsichord part only.	Title information: Second oeuvre de simphonies pour le clavecin ou le forte-piano avec accompagnement de deux violons, deux cors et violoncelle (ad libitum), oeuvre XVII. A Paris: chez l'auteur: gravées par M.lle Landie, [1783]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01018759363	Other	Description in British Library catalogue.
990055516	GB-Lbl	h.2782.zz.	Copy at h.2782.zz. Lacking the Violoncello part of Quintetto III, which is supplied in ms. Some parts slightly burnt on bottom edge.	Title information: Trois quintetti. Hambourg: chez Jean Auguste Böhme, [1810]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013598638	Other	Description in British Library catalogue.
990063641	GB-Lbl	f.614.k.(2.)	Copy at f.614.k.(2.). Imperfect: wanting all but the harpsichord part.	Title information: Concerto pour le clavecin avec symphonie, premier et second violon alto et basse. A Paris: chez l'auteur, et aux addresses ordinaires; A Lyon: M. Castaud, [1771?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016623290	Other	Description in British Library catalogue.
