1,Ort (260$a),Jahr (260$c),"Quellenart, Umfang (300$a)",Format (300$c),Quellentyp (593$a),Zusätzl. Bemerkung (500$a),Lit. Fest (657$a)
850785972,,[1800-1899],1 vocal score,268x352 mm.,Autograph manuscript,[spartito],
850785975,,1857-1868,1 vocal score,270x355 mm.,Autograph manuscript,[Spartito],
850785981,,[1800-1899],1 vocal score,271x176 mm.,Autograph manuscript,[Spartito],
850785986,,[1800-1899],1 vocal score,273x350 mm.,Autograph manuscript,[Spartito],
850786073,,1820-1826,1 vocal score,270x351 mm,Autograph manuscript,[Spartito],
850786095,,after 1866,1 vocal score,270x178 mm,Autograph manuscript,[Spartito],
850786185,,1850,1 vocal score,221x282 mm,Autograph manuscript,[Spartito],
850786215,,1826,1 vocal score,232x303 mm,Autograph manuscript,[Spartito],
850786276,,1861,1 vocal score,272x353 mm.,Autograph manuscript,[spartito],
850786282,,[1800-1899],1 vocal score,271x340 mm.,Autograph manuscript,[spartito],
850786291,,[1848],1 vocal score,235x310 mm,Autograph manuscript,[Spartito],
850786326,,1857-1868,1 vocal score,270x355 mm,Autograph manuscript,[Spartito],
850800370,,1923,1 vocal score,240x335 mm,Autograph manuscript,[Spartito],
850801981,,1909,1 vocal score,240x330 mm,Autograph manuscript,[Spartito],
850804568,,[1940-1960],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850804821,,[1979],1 vocal score,324 x 238 mm,Autograph manuscript,[Spartito],
850808086,,[1940-1960],1 vocal score,335 x 250 mm,Autograph manuscript,[Spartito],
850808102,,[1940-1960],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808112,,[1940-1960],1 vocal score,333 x 243 mm.,Autograph manuscript,[Spartito],
850808117,,[1900-1949],vocal score,340 x 245 mm.,Autograph manuscript,[Spartito],
850808155,,[1940-1960],1 vocal score,327 x 224 mm,Autograph manuscript,[Spartito],
850808174,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808219,,[1940-1960],vocal score,325 x 237 mm.,Autograph manuscript,[Spartito],
850808286,,[1900-1949],1 vocal score,315 x 215 mm,Autograph manuscript,[Spartito],
850808363,,[1950-1999],1 vocal score,325 x 235 mm,Autograph manuscript,[Spartito],
850808385,,[1990-1999],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808399,,[1990-1999],1 vocal score,325 x 235 mm,Autograph manuscript,[Spartito],
850808401,,[1940-1960],1 vocal score,330 x 238 mm,Autograph manuscript,[Spartito],
850808402,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808500,,[1940-1960],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808506,,[1940-1960],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808507,,[1940-1960],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808571,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808572,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808581,,[1940-1960],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808611,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808614,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808615,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808648,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808692,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808720,,[1940-1960],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808732,,[1940-1960],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850808738,,[1940-1960],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850811206,,[1950-1999],vocal score,330 x 240 mm ,Autograph manuscript,[Spartito],
850811263,,[1950-1999],vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850811351,,[1940-1960],vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850811383,,[1950-1999],vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850811408,,[1940-1960],vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850811457,,[1950-1999],vocal score,329 X 239 mm,Autograph manuscript,[Spartito],
850811515,,[1950-1999],1 vocal score,331 x 218 mm,Autograph manuscript,[Spartito],
850811576,,[1950-1999],1 vocal score,420 x 297,Autograph manuscript,[Spartito],
850811669,,[1950-1999],1 vocal score,320 x 230 mm,Autograph manuscript,[Spartito],
850811670,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850811704,,[1950-1999],1 vocal score,328 x 250 mm,Autograph manuscript,[Spartito],
850811766,,[1940-1960],vocal score,345 x 245 mm,Autograph manuscript,[Spartito],
850811838,,[1950-1999],vocal score,332 x 241 mm,Autograph manuscript,[Spartito],
850811862,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850811937,,[1950-1999],vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850811966,,[1950-1999],1 vocal score,300 x 226 mm,Autograph manuscript,[Spartito],
850812044,,[1950-1999],vocal score,334 x 241 mm,Autograph manuscript,[Spartito],
850812128,,[1950-1999],1 vocal score,332 x 241 mm,Autograph manuscript,[Spartito],
850812139,,[1950-1999],1 vocal score,328 x 250 mm,Autograph manuscript,[Spartito],
850812394,,30 novembre 1947,1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850812527,,[1940-1960],1 vocal score,330 x 240 mm,Autograph manuscript,[Spartito],
850812653,,[1950-1999],vocal score,325 x 237 mm.,Autograph manuscript,[Spartito],
850812664,,[1940-1960],vocal score,324 x 240 mm,Autograph manuscript,[Spartito],
850812699,,[1940-1960],vocal score,331 x 241 mm.,Autograph manuscript,[Spartito],
