1,Ort (260$a),Jahr (260$c),"Quellenart, Umfang (300$a)",Format (300$c),Quellentyp (593$a),Zusätzl. Bemerkung (500$a),Lit. Fest (657$a)
850811077,,1919,,320x240 mm,Manuscript copy,Partitura,
850811085,,[1800-1849],,211x319 mm,Manuscript copy,Partitura,
850811104,,[1800-1849],,220x316 mm,Manuscript copy,Partitura,
850811170,,[1850-1899],1 score,330x240 mm,Manuscript copy,Partitura,
850811174,,[1850-1899],,240x330 mm,Manuscript copy,Partitura,
850811212,,[1800-1849],,230x320 mm,Manuscript copy,Partitura,
850811253,,[1800-1849],,240 x 320 mm,Manuscript copy,Partitura,
850811309,,1860-1890,score,232 x 318 mm,Manuscript copy,Partitura,
850811335,,[1800-1849],,230x320 mm,Manuscript copy,Partitura,
850811367,,[1790-1810],1 score,235x326 mm,Manuscript copy,Partitura,
850811385,,[1840-1860],1 score,325x234 mm,Manuscript copy,Partitura,
850811401,,[1850-1899],,220x300 mm,Manuscript copy,Partitura,
850811443,,[1850-1899],,240x350 mm,Manuscript copy,Partitura,
850811465,,[1850-1899],,250x340 mm,Manuscript copy,Partitura,
850811483,,[1800-1849],,220x300 mm,Manuscript copy,Partitura,
850811941,,[1850-1899],,250x340 mm,Manuscript copy,Partitura,
850812087,,[1850-1899],,340x250 mm,Manuscript copy,Partitura,
850812702,,[1750-1799],,230x320 mm,Manuscript copy,Partitura,
850814180,,[1850-1899],,250x340 mm,Manuscript copy,Partitura,
850816139,,[1850-1899],,229x323 mm,Manuscript copy,Partitura,
850816290,,[1850-1899],,250x342 mm,Manuscript copy,Partitura,
850816918,,after 1852,1 score,236x323 mm,Manuscript copy,Partitura,
850817087,,[1850-1899],,242x328 mm,Manuscript copy,Partitura,
850817326,,[1800-1849],,321x229 mm,Manuscript copy,Partitura,
850817456,,[1850-1899],,239x336 mm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Manuscript copy,Partitura,
850817501,,[1800-1849],,235x326 mm,Manuscript copy,Partitura,
850817511,,[1850-1899],,233x324 mm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Manuscript copy,Partitura,
850817540,,[1800-1849],,240x327 mm,Manuscript copy,Partitura,
850809751,,[1800-1849],,241x338 mm,Manuscript copy,Partitura [e parte],
850815963,,[1850-1899],,230x321 mm,Manuscript copy,Partitura [e parte],
850811107,,[1850-1899],,250x340 mm,Manuscript copy,Partitura [e parti],
850777060,,[1840-1860],1 score + parts,215 x 290 mm,Manuscript copy,Partitura e parti,
850781562,,[1900-1940],1 score + part,335 x 245 mm,Manuscript copy,Partitura e parte,
850604333,,[1841-1860],1 score + parts,,Manuscript copy,partitura e parti,
850611407,,[1801-1900],1 score + parts,,Manuscript copy,partitura e parti,
850779082,,,1 score + parts,211x284 mm,Manuscript copy,partitura e parti,
850685406,,[1861-1890],1 score + parts,292x230 mm; 223x285 mm,Manuscript copy,partitura e parti,
850780559,,[1800-1810],1 score,223 x 295 mm,Manuscript copy,Partitura e parti,
850780910,,[1800-1810],,225 x 295 mm,Manuscript copy,Partitura e parti,
850783430,,[1840-1860],,225 x 285 mm,Manuscript copy,Partitura e parti,
850781624,,[1790-1799],1 score,215 x 287 mm,Manuscript copy,,
850780974,,[1903-1940],1 score + parts,630 x 275 mm,Manuscript copy,Partitura e parti,
850691204,,,1 short score,,Manuscript copy,partitura ristretta,
850794000,,before 1921,10 parts,290x220 mm,Manuscript copy,,
850794055,,[1940-1960],11 parts,330x240 mm,Manuscript copy,Copia del riduttore,
850779375,,[1791-1800],1 score + parts,"222x300 mm (score), 243x310 mm (parts)",Manuscript copy,partitura e parti,
850779444,,[1761-1790],1 score + parts,225x298 mm,Manuscript copy,partitura e parti,
850793430,,[1940-1960],1 score,350x235 mm,manuscript copy,,
850793236,,[1940-1960],1 score,330x235 mm,manuscript copy,,
850793418,,[1940-1960],1 score,320x235 mm,manuscript copy,,
850810035,,[1900-1910],1 score,343 x 249 mm,manuscript copy,,
850806920,,[1840-1860],1 score,330x240 mm.,manuscript copy,,
850806987,,[1840-1860],1 score,220x320 mm.,manuscript copy,,
850806003,,[1840-1860],1 score,320x240 mm.,manuscript copy,,
850806988,,[1840-1860],1 score,,manuscript copy,,
850806038,,[1840-1860],1 score,320x230 mm.,manuscript copy,,
850806377,,[1840-1860],1 score,310x220 mm.,manuscript copy,,
850776346,,[1840-1860],1 score + parts,225 x 295 mm,Manuscript copy,Partitura e parti,
850809646,,[1800-1849],1 score,240x330 mm,Manuscript copy,"Partitura, [spartito e parte]",
850813800,,[1850-1899],,240x330 mm,Manuscript copy,"Partitura, [spartito e parte]",
850676329,,,parts,,Manuscript copy,,
850697830,,[s.d.],1 score,23 x 32 cm.,Manuscript copy,,
850733902,,,score,21 x 14 cm.,Manuscript copy,,
850807375,,,score: 13 f.,240 x 295 mm,Manuscript copy,,
850671012,,[1861-1890],1 vocal score,225x296 mm,Manuscript copy,,
850780580,,[1901-1940],1 vocal score,335 x 245 mm,Manuscript copy,,
850810731,,[after 1840],1 vocal score,250x330 mm,Manuscript copy,,
850810804,,[after 1881],1 vocal score,,Manuscript copy,,
850810829,,[after 1848],1 vocal score,330x240 mm,Manuscript copy,,
850810853,,[after 1830],1 vocal score,250x300 mm,Manuscript copy,,
850810854,,[after 1838],1 vocal score,235x330 mm,Manuscript copy,,
850810874,,[after 1833],1 vocal score,235x310 mm,Manuscript copy,,
850810888,,[after 1830],1 vocal score,240x310 mm,Manuscript copy,,
850810897,,[after 1838],1 vocal score,240x320 mm,Manuscript copy,,
850810930,,1897,1 vocal score,245x335 mm,Manuscript copy,,
850810964,,[after 1830],1 vocal score,245x335 mm,Manuscript copy,,
850810970,,[after 1850],1 vocal score,240x340 mm,Manuscript copy,,
850810985,,[after 1830],1 vocal score,230x320 mm,Manuscript copy,,
850810986,,[after 1850],1 vocal score,330x240 mm,Manuscript copy,,
850811071,,[after 1830],1 vocal score,340x240 mm,Manuscript copy,,
850811076,,[after 1830],1 vocal score,240x330 mm,Manuscript copy,,
850811079,,[after 1850],1 vocal score,240x340 cm,Manuscript copy,,
850811091,,[after 1830],1 vocal score,235x330 mm,Manuscript copy,,
850811093,,[after 1831],1 vocal score,240x325 mm,Manuscript copy,,
850811101,,[after 1830],1 vocal score,,Manuscript copy,,
850811120,,1841-1860,1 vocal score,316 x 250 mm,Manuscript copy,,
850776743,,[1840-1860],vocal score,225 x 300 mm,Manuscript copy,,
850803146,,[1810-1840],vocal score,,Manuscript copy,Datazione: 19/p,
850803147,,[1810-1840],vocal score,,Manuscript copy,Datazione: 19/p,
850803195,,[1810-1840],vocal score,,Manuscript copy,Datazione: 19/p,
850803203,,[1810-1840],vocal score,,Manuscript copy,Datazione: 19/p,
850803205,Roma,[1810-1840],vocal score,,Manuscript copy,Datazione: 19/p,
850803270,,[1810-1840],vocal score,,Manuscript copy,Datazione: 19/p,
850813619,[s.l.],[1900-1950],1 score,325 x 235 mm,Manuscript copy,,
850817056,,1840-1860,2 parts,"314x228, 230x314 mm",Manuscript copy,[Parte con guida e parte],
850792953,,[1940-1960],part,315x235 mm,Manuscript copy,,
850793060,,[1940-1960],part,315x235 mm,Manuscript copy,,
850791457,,[1940-1960],part,33 cm,Manuscript copy,,
850791654,,[1940-1960],part,33 cm,Manuscript copy,,
850792901,,[1940-1960],part,325x235 mm,Manuscript copy,,
850792904,,[1940-1960],part,305x230 mm,Manuscript copy,,
850792906,,[1940-1960],part,325x235 mm,Manuscript copy,,
850792919,,[1940-1960],part,305x230 mm,Manuscript copy,,
850792925,,1940-1960,part,325x235 mm,Manuscript copy,,
850792927,,[1940-1960],part,325x235 mm,Manuscript copy,,
850792929,,[1940-1960],part,32 cm,Manuscript copy,,
850792948,,[1940-1960],part,32 cm,Manuscript copy,,
850792960,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793016,,[1940-1960],part,325x235 mm,Manuscript copy,Datazione: (1761),
850793033,,[1940-1960],part,325x235 mm,Manuscript copy,Datazione: (1761),
850793046,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793050,,[1940-1960],part,325x235 mm,Manuscript copy,Datazione: (1761),
850793052,,[1940-1960],part,325x235 mm,Manuscript copy,Datazione: (1761),
850793058,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793067,,[1940-1960],part,315x235 mm,Manuscript copy,,
850793068,,[1940-1960],part,325x240 mm,Manuscript copy,,
850793075,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793081,,[1940-1960],part,325x235 mm,Manuscript copy,,Mariae (B.V.) Assumptio
850793082,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793123,,[1940-1960],part,315x235 mm,Manuscript copy,,
850793136,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793140,,after 1958,part,330x235 mm,Manuscript copy,,
850793144,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793145,,after 1955,part,325x235 mm,Manuscript copy,,
850793154,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793166,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793167,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793171,,[1940-1960],part,330x240 mm,Manuscript copy,,
850793180,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793203,,[1940-1960],part,325x235 mm,Manuscript copy,Datazione: (1761),
850793208,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793209,,before 1971,part,325x235 mm,Manuscript copy,Datazione: (1774),
850793224,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793252,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793254,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793409,,[1940-1960],part,325x235 mm,Manuscript copy,,
850793593,,after 1923,1 part,310x235 mm,Manuscript copy,,
850793701,,after 1922,1 keyboard score,30 cm. ,Manuscript copy,,
850803719,,[circa 1908],part,299x223 mm,Manuscript copy,,
850804828,,[1840-1860],part,310 x 230 mm.,Manuscript copy,,
850804996,,[1850-1899],part,295 x 232 mm,Manuscript copy,,
850804997,,[1850-1899],part,295 x 232 mm,Manuscript copy,,
850805279,,[1840-1860],part,310 x 230 mm.,Manuscript copy,,
850805310,,[1840-1860],part,310 x 230 mm.,Manuscript copy,,
850805341,,[1850-1899],part,295 x 232 mm,Manuscript copy,,
850805510,,[1840-1860],part,310 x 230 mm.,Manuscript copy,,
850805803,,after 1843,part,245x328 mm,Manuscript copy,,
850805882,,[1890-1910],part,327x243 mm,Manuscript copy,,
850805907,,after 1924,part,245x162 mm,Manuscript copy,,
850805989,,[1900-1949],part,167x242 mm,Manuscript copy,,
850805990,,after 1854,part,330x235 mm,Manuscript copy,,
850807269,,[1890-1910],1 part,328x245 mm,Manuscript copy,,
850807449,,[1850-1899],1 part,240x320 mm) ; 335x250 mm,Manuscript copy,,
850810540,,[1800-1810],part,226x313 mm,Manuscript copy,,
850810869,,[1800-1849],1 part,227x309 mm,Manuscript copy,,
850811064,,[1850-1899],part,240x330 mm,Manuscript copy,,
850811332,,1840-1860,part,228 x 320 mm,Manuscript copy,,
850814066,,[1850-1899],part,230x310 mm,Manuscript copy,,
850814067,,[1750-1799],part,240x310 mm,Manuscript copy,,
850814089,,[1850-1899],part,220x310 mm,Manuscript copy,,
850814254,,[1850-1899],part,230x310 mm,Manuscript copy,,
850814390,,[1850-1899],part,230x320 mm,Manuscript copy,,
850816001,,[1850-1899],part,232x326 mm,Manuscript copy,,
850792945,,[1940-1960],parts,325x235 mm,Manuscript copy,,
850793174,,[1940-1960],2 parts,325x235 mm,Manuscript copy,Datazione: (1955-56),
850793181,,[1940-1960],5 parts,325x235 mm,Manuscript copy,,
850793652,,1950-1970,14 parts,330x245 mm,Manuscript copy,,
850793900,,before 1934,11 part,330x240 mm,Manuscript copy,,
850793924,,before 1962,8 part,325x235 mm,Manuscript copy,,
850794199,,[1940-1960],11 part,325x245 mm,Manuscript copy,,
850794201,,[1900-1949],15 parts,330x235 mm,Manuscript copy,,
850704405,,,parts,32 x 23 cm.,Manuscript copy,,
850736492,,[1761-1790],5 parts,220x229 mm,Manuscript copy,,
850736821,,[circa 1846],parts,320x225 mm,Manuscript copy,,
850783388,,[1790-1799],3 parts,285 x 215 mm,Manuscript copy,,
850793649,,1958-1970,10 parts,330x240 mm,Manuscript copy,,
850793677,,after 1927,10 parts,335x250 mm,Manuscript copy,,
850794123,,1950-1970,10 parts,330x240 mm,Manuscript copy,,
850794191,,after 1922,10 parts,330x240 mm,Manuscript copy,,
850815960,,[1850-1899],10 parts,242x325 mm,Manuscript copy,,
850811491,,[1800-1849],10 parts,229-313x-226-315 mm,Manuscript copy,,"Parasceve, Feria VI in"
850804297,,[circa 1845],10 parts,320x227 mm,Manuscript copy,Copia di vari copisti,
850793796,,before 1934,11 parts,330x240 mm,Manuscript copy,,
850793859,,[1951-1959],11 parts,325x240 mm,Manuscript copy,,
850794139,,[1941-1949],11 parts,315x234 mm,Manuscript copy,,
850793654,,[1900-1949],12 parts,290-325x220-240 mm,Manuscript copy,,
850794100,,[1940-1960],12 parts,355x240 mm,Manuscript copy,,
850794115,,after 1923,12 parts,320-335x220-245 mm,Manuscript copy,Copia di vari copisti,
850817205,,1860-1890,12 parts,226x324 mm,Manuscript copy,Copia di vari copisti,
850793669,,1950-1970,14 parts,325x235 mm,Manuscript copy,,
850793912,,before 1912,14 parts,320x235 mm,Manuscript copy,,
850794066,,1946 circa,14 parts,280x215 mm,Manuscript copy,,
850794183,,[1940-1960],14 parts,335x240 mm,Manuscript copy,,
850804701,,[1900-1910],14 parts,311-318 x 238 mm,Manuscript copy,,
850814990,,[1950-1999],14 parts,350x230 mm,Manuscript copy,,
850793851,,before 1912,15 parts,325x235 mm,Manuscript copy,,
850793852,,before 1950,15 parts,330x230 mm,Manuscript copy,,
850794117,,before 1929,15 parts,300x205 mm,Manuscript copy,,
850802022,,[1850-1899],15 parts,245x340 mm,Manuscript copy,,
850805492,,[1850-1899],15 parts,221-320 x 230-320 mm.,Manuscript copy,,
850809681,,[1790-1810],15 parts,268 x 193 mm,Manuscript copy,,
850793893,,1950 circa,16 parts,325x235 mm,Manuscript copy,,
850794005,,[1900-1949],16 parts,310x215m,Manuscript copy,,
850794072,,after 1916,16 parts,315-380x235-280 mm,Manuscript copy,,
850800455,,[1750-1799],16 parts,230x330 mm,Manuscript copy,,
850800886,,[1890-1899],16 parts,245x340 mm,Manuscript copy,,
850793670,,[1901-1909],17 parts,325x240 mm,Manuscript copy,,
850794073,,1926 circa,17 parts,330x245 mm,Manuscript copy,,
850794080,,[1900-1949],17 parts,330x235 mm,Manuscript copy,,
850793507,,[1890-1910],18 parts,325x250 mm,Manuscript copy,,
850794067,,[1940-1960],18 parts,325x235 mm,Manuscript copy,,
850794074,,[1940-1960],18 parts,325x235 mm,Manuscript copy,,
850794153,,[1900-1949],18 parts,235-330x245-295 mm,Manuscript copy,Copia di vari copisti,
850805010,,[1850-1899],18 parts,332 x 257 mm,Manuscript copy,,
850793516,,[1900-1949],19 parts,350x250 mm,Manuscript copy,,
850793869,,[1941-1949],19 parts,335x245 mm,Manuscript copy,,
850793930,,1917-1923,19 parts,275x215 mm,Manuscript copy,,
850794148,,[1900-1949],19 parts,300x230 mm,Manuscript copy,,
850800608,,[1890-1899],19 parts,245x330 mm,Manuscript copy,,
850805495,,[1840-1860],19 parts,222 x 390 mm,Manuscript copy,,
850792991,,[1940-1960],2 parts,325x235 mm,Manuscript copy,,
850793012,,[1940-1960],2 parts,330x235 mm,Manuscript copy,,
850793192,,[1940-1960],2 parts,325x235 mm,Manuscript copy,,
850798797,,[1850-1899],2 parts,245x335 mm,Manuscript copy,,
850799469,,[1900-1949],2 parts,240x335 mm,Manuscript copy,,
850801712,,[1850-1899],2 parts,340x245 mm,Manuscript copy,,
850801856,,[1900-1910],2 parts,335x240 mm,Manuscript copy,,
850802077,,[1850-1899],2 parts,240x335 mm,Manuscript copy,,
850802189,,[1790-1810],2 parts,230x325 mm,Manuscript copy,,
850802527,,[1800-1849],2 parts,230x325 mm,Manuscript copy,,
850807793,,[1900-1949],2 parts,324x240 mm,Manuscript copy,,
850811004,,[1750-1799],2 parts,230x320 mm,Manuscript copy,,
850811142,,1860-1890,2 parts,348 x 272 mm,Manuscript copy,,
850811221,,1860-1890,2 parts,334 x 244 mm,Manuscript copy,,
850816812,,1870-1880,2 parts,"330 x 240 mm, 292x220 mm",Manuscript copy,,
850816877,,1860-1890,2 parts,320x242 mm,Manuscript copy,,
850800558,,[1890-1899],20 parts,245x335 mm,Manuscript copy,,
850793497,,[1891-1899],21 parts,225x310 mm,Manuscript copy,,
850801221,,[1890-1910],21 parts,240-250x330 mm,Manuscript copy,,
850794171,,1909-1912,22 parts,285x220 mm,Manuscript copy,,
850794174,,[1890-1910],22 parts,220-340x245-295 mm,Manuscript copy,Copia di vari copisti,
850798838,,[1850-1899],22 parts,240-245x330-345 mm,Manuscript copy,,
850793787,,[1900-1949],23 parts,310x225 mm,Manuscript copy,,
850794062,,after 1923,23 parts,320-330x235-250 mm,Manuscript copy,Copia di vari copisti,
850805136,,[1850-1899],23 parts,216-296 x 221-398 mm,Manuscript copy,,
850794002,,[1900-1949],24 parts,310x220 mm,Manuscript copy,,
850802665,,[1821-1825],24 parts,350x215 mm,Manuscript copy,,
850800693,,[1850-1899],26 parts,245x325-330 mm,Manuscript copy,,
850804669,,[1840-1860],27 parts,380 x 222,Manuscript copy,,
850804889,,[1850-1899],27 parts,220 x 356 mm.,Manuscript copy,,
850805419,,[1900-1949],27 parts,356-368 x 240 mm,Manuscript copy,,
850794110,,1927-1929,28 parts,350x250 mm,Manuscript copy,,
850811374,,1880-1900,28 parts,302 x 228 mm,Manuscript copy,,
850792949,,[1940-1960],3 parts,325x235 mm,Manuscript copy,,
850793121,,[1940-1960],3 parts,325x235 mm,Manuscript copy,,
850793139,,[1940-1960],3 parts,325x235 mm,Manuscript copy,,
850793142,,[1940-1960],3 parts,325x235 mm,Manuscript copy,,
850793146,,[1940-1960],3 parts,325x235 mm,Manuscript copy,,
850793157,,[1940-1960],3 parts,,Manuscript copy,,
850793175,,[1940-1960],3 parts,325x235 mm,Manuscript copy,,
850801859,,[1800-1849],3 parts,170x225 mm,Manuscript copy,,
850804264,,[circa 1845],3 parts,314x222 mm,Manuscript copy,Copia di vari copisti,
850807082,,after 1934,3 parts,172x242 mm,Manuscript copy,,
850810091,,[1800-1810],3 parts,220 x 292 mm,Manuscript copy,,
850811500,,1890-1910,3 parts,348 x 256 mm,Manuscript copy,,
850812621,,[1940-1960],3 parts,348 x 270 mm,Manuscript copy,,
850805359,,[1900-1910],32 parts,different sizes,Manuscript copy,,
850805000,,[1850-1899],33 parts,218-295 x 233-317 mm.,Manuscript copy,,
850805011,,[1850-1899],33 parts,218-295 x 233-317 mm,Manuscript copy,,
850805137,,[1850-1899],33 parts,218-295 x 233-317 mm,Manuscript copy,,
850817208,,1860-1890,34 parts,302x224 mm,Manuscript copy,,
850794189,,[1900-1949],35 parts,285-335x220-245 mm,Manuscript copy,Copia di vari copisti,
850802598,,[1811-1842],35 parts,358x235 mm,Manuscript copy,,
850805992,,[1890-1899],35 parts,165x250 mm,Manuscript copy,,
850804957,,[1850-1899],36 parts,225-316 x 240- 311 mm,Manuscript copy,,
850794113,,[1900-1949],4 parts,330x240 mm,Manuscript copy,,
850802274,,[1850-1899],4 parts,330x250 mm,Manuscript copy,,
850793120,,after 1954,4 parts,335x235 mm. ,Manuscript copy,Datazione: (1949),
850802343,,[1790-1810],4 parts,220x295 mm,Manuscript copy,,
850802289,,[1790-1810],4 parts,225x300 mm,Manuscript copy,,
850802479,,[1790-1810],4 parts,220x300 mm,Manuscript copy,,
850793128,,[1940-1960],4 parts,330x230 mm,Manuscript copy,,
850802478,,[1790-1810],4 parts,220x300 mm,Manuscript copy,,
850802323,,[1790-1810],4 parts,225x300 mm,Manuscript copy,,
850801966,,1820,4 parts,365x255 mm.,Manuscript copy,,
850793132,,after 1956,4 parts,325x235 mm. ,Manuscript copy,Datazione: (1956),
850802473,,[1790-1810],4 parts,225x305 mm,Manuscript copy,,
850792957,,[1940-1960],4 parts,330x235 mm,Manuscript copy,,
850802305,,[1790-1810],4 parts,225x300 mm,Manuscript copy,,
850792912,,[1940-1960],4 parts,335x250 mm,Manuscript copy,,
850802178,,[1800-1810],4 parts,235x320 mm.,Manuscript copy,,
850793092,,[1940-1960],4 parts,335x235 mm,Manuscript copy,,
850802293,,[1790-1810],4 parts,225x305 mm,Manuscript copy,,
850802170,,[1800-1849],4 parts,225x310 mm,Manuscript copy,,
850792936,,[1940-1960],4 parts,359x260 mm,Manuscript copy,,
850802169,,[1800-1849],4 parts,395x275 mm,Manuscript copy,,
850802183,,after 1821,4 parts,330x230 mm,Manuscript copy,,
850802276,,[1800-1849],4 parts,395x275 mm,Manuscript copy,,
850802492,,[1800-1849],4 parts,395x275 mm,Manuscript copy,,
850802493,,[1800-1849],4 parts,395x275 mm,Manuscript copy,,
850802275,,[1800-1849],4 parts,395x275 mm,Manuscript copy,,
850792907,,[1940-1960],4 parts,325x235 mm,Manuscript copy,,
850792922,,[1940-1960],4 parts,325x235 mm,Manuscript copy,,
850792914,,[1940-1960],4 parts,325x235 mm,Manuscript copy,,
850793085,,[1950-1999],4 parts,325x235 mm. ,Manuscript copy,,
850811450,,1860-1890,4 parts,334 x 242 mm,Manuscript copy,,
850793040,,[1940-1960],4 parts,325x235 mm,Manuscript copy,,
850793049,,[1940-1960],4 parts,325x235 mm,Manuscript copy,Datazione: (1788),
850793315,,[1940-1960],4 parts,330x240 mm,Manuscript copy,,
850794150,,[1940-1960],4 parts,325x235 mm,Manuscript copy,,
850792937,,[1940-1960],4 parts,325x235 mm,Manuscript copy,,
850804870,,[1900-1910],4 parts,316 x 242 mm,Manuscript copy,,
850793141,,[1940-1960],4 parts,325x235 mm,Manuscript copy,,
850792996,,[1940-1960],4 parts,325x235 mm,Manuscript copy,,
850793069,,[1940-1960],4 parts,325x235 mm,Manuscript copy,,
850793301,,[1940-1960],4 parts,340x235 mm,Manuscript copy,Datazione: (1774),
850793215,,[1940-1960],4 parts,,Manuscript copy,,
850792997,,[1940-1960],4 parts,325x235 mm,Manuscript copy,,
850805664,,[1850-1899],42 parts,304 x 225 mm.,Manuscript copy,,
850800658,,[1800-1849],43 parts,250x335 mm,Manuscript copy,,
850793836,,1907-1940,44 parts,330x245 mm,Manuscript copy,,
850802631,,[1826-1829],46 parts,366x235 mm,Manuscript copy,Copia di vari copisti,
850802568,,[1826-1829],47 parts,332x255 mm,Manuscript copy,Copia di vari copisti,
850811498,,1880-1900,48 parts,336 x 262 mm,Manuscript copy,,
850794168,,[1940-1960],5 parts,330x235 mm,Manuscript copy,,
850793170,,[1940-1960],5 parts,320x235 mm,Manuscript copy,,
850792939,,[1940-1960],5 parts,330x235 mm,Manuscript copy,,
850811495,,[1800-1849],5 parts,218-240x311-322 mm,Manuscript copy,,
850802175,,[1800-1849],5 parts,230x325 mm,Manuscript copy,,
850802176,,[1800-1849],5 parts,230x320 mm,Manuscript copy,,
850802509,,[1800-1849],5 parts,235x320 mm,Manuscript copy,,
850802510,,[1800-1849],5 parts,230x320 mm,Manuscript copy,,
850793311,,[1940-1960],5 parts,340x235 mm,Manuscript copy,,
850793165,,[1940-1960],5 parts,330x240 mm,Manuscript copy,,
850792992,,[1940-1960],5 parts,325x235 mm,Manuscript copy,,
850793282,,[1940-1960],5 parts,340x235 mm,Manuscript copy,,
850793200,,[1940-1960],5 parts,325x235 mm,Manuscript copy,,
850802184,,[1800-1849],5 parts,235x325 mm,Manuscript copy,,
850802185,,[1800-1849],5 parts,235x325 mm,Manuscript copy,,
850811201,,1880-1900,5 parts,364 x 268 mm,Manuscript copy,,
850802593,,[circa 1822],54 parts,353x216 mm,Manuscript copy,Copia di vari copisti,
850793700,,1955,6 parts,33 cm,Manuscript copy,,
850794144,,[1890-1910],6 parts,280-325x225-235 mm,Manuscript copy,Copia di vari copisti,
850798827,,[1850-1899],6 parts,240x330 mm,Manuscript copy,,
850802066,,[1850-1899],6 parts,235x335 mm,Manuscript copy,,
850793305,,[1940-1960],6 parts,340x235 mm,Manuscript copy,,
850793005,,[1940-1960],6 parts,325x235 mm,Manuscript copy,,
850793205,,[1940-1960],6 parts,315x245 mm,Manuscript copy,,
850793320,,[1940-1960],6 parts,340x235 mm,Manuscript copy,Datazione: (1779),
850802683,,[circa 1875],64 parts,332x240 mm,Manuscript copy,,
850794187,,[1900-1949],7 parts,330x245 mm,Manuscript copy,Copia di vari copisti,
850793117,,[1940-1960],7 parts,335x240 mm,Manuscript copy,,
850811510,,1860-1890,7 parts,318 x 236 mm,Manuscript copy,,
850799494,,after 1886,73 parts,235-335x230-335 mm,Manuscript copy,,
850794169,,1910-1915,8 parts,345x270 mm,Manuscript copy,,
850794172,,[1900-1949],8 parts,335x240 mm,Manuscript copy,,
850804881,,[1850-1899],8 parts,332 x 241 mm.,Manuscript copy,,
850801242,,[1890-1910],8 parts,245x335 mm,Manuscript copy,,
850793156,,[1940-1960],8 parts,335x240 mm,Manuscript copy,,
850793780,,[1901-1909],9 parts,335x240 mm,Manuscript copy,,
850793784,,1932 circa,9 parts,335x240 mm,Manuscript copy,,
850794045,,[1900-1949],9 parts,335x245 mm,Manuscript copy,,
850794114,,[1900-1949],9 parts,325x235 mm,Manuscript copy,,
850794180,,before 1912,9 parts,330x250 mm,Manuscript copy,,
850811350,,1860-1890,9 parts,330 x 238 mm,Manuscript copy,,
850793035,,[1940-1960],2 parts,325x235 mm,Manuscript copy,,
850805348,,[1900-1949],28 parts,333 x 250 mm,Manuscript copy,,
850805063,,1938,36 parts,325 x 235 mm,Manuscript copy,Copisti: Melli Alfredo e Aldo Faveri,
850793815,,1939-1940,parts,270x230 mm,Manuscript copy,,
850793846,,1960,parts,33 cm,Manuscript copy,,
850794063,,[1890-1910],parts,320-330x230-240 mm,Manuscript copy,Copia di vari copisti,
850794064,,[1900-1949],parts,330x240 mm,Manuscript copy,,
850794136,,[1900-1949],parts,295-350x215-255 mm,Manuscript copy,Copia di vari copisti,
850794156,,[1900-1949],parts,215-335x245-315 mm,Manuscript copy,Copia di diversi copisti,
850794157,,1916,parts,295x230 mm,Manuscript copy,,
850794181,,before 1911,parts,320x230 mm,Manuscript copy,,
850794190,,[1940-1960],parts,325x235 mm,Manuscript copy,,
850801486,,[1790-1799],parts,225x290 mm,Manuscript copy,,
850801792,,[1750-1799],parts,225x310 mm,Manuscript copy,,
850801916,,1904,parts,245x335 mm,Manuscript copy,,
850802239,,[1850-1899],parts,245x335 mm,Manuscript copy,,
850803779,,[1820-1842],parts,227x353 mm,Manuscript copy,,
850805701,,[1850-1899],parts,356 x 235 mm,Manuscript copy,,
850810911,,[1860-1890],parts,80-218 x 242-265 mm,Manuscript copy,,
850811381,,1860-1890,parts,230 x 324 mm,Manuscript copy,,
850816457,,[1840-1860],parts,204x144 mm,Manuscript copy,,
850810520,,1860-1890,parts,330 x 248 mm,Manuscript copy,,
850793907,,1920,22 parts,310x215 mm,Manuscript copy,,
850792990,,[1961-1969?],1 score + part,33 cm,Manuscript copy,,
850809792,,[1800-1849],1 score + part,229x312 mm,Manuscript copy,,
850810068,,[1800-1849],1 score + part,230x325 mm,Manuscript copy,,
850810612,,[1800-1849],1 score + part,230x320 mm,Manuscript copy,,
850815880,,[1800-1849],1 score + part,236x332 mm,Manuscript copy,,
850815910,,[1800-1849],1 score + part,234x336 mm,Manuscript copy,,
850817099,,[1800-1849],1 score + part,232x335 mm,Manuscript copy,,
850793204,,[1940-1960],score + part,280x325 mm,Manuscript copy,,
850793400,,[1950-1999],score + part,325x232 mm,Manuscript copy,,
